Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,49.4,39.9,80.8,9.0,31.5,25.9,6.7,4.8
Golden State Warriors*,46.3,35.6,71.7,11.5,30.0,23.8,9.1,5.7
Denver Nuggets*,46.5,33.6,74.6,12.2,31.2,23.4,8.3,5.3
Washington Wizards*,45.0,34.8,76.5,12.2,29.0,20.2,7.7,4.6
Los Angeles Lakers*,46.6,35.3,74.7,10.8,30.4,22.6,7.3,5.1
Memphis Grizzlies,46.5,36.7,76.1,10.6,29.0,20.5,6.9,5.0
Utah Jazz*,47.4,33.5,74.3,12.6,30.0,24.7,7.0,4.1
Sacramento Kings,45.0,35.0,76.5,9.7,29.2,20.3,8.2,3.2
Dallas Mavericks*,46.7,38.1,80.5,11.2,30.7,19.9,6.8,5.0
Milwaukee Bucks,46.5,35.6,73.3,11.5,27.7,21.6,7.2,2.7
Toronto Raptors*,46.3,36.3,78.8,9.2,30.2,22.2,7.1,3.9
Seattle SuperSonics,46.0,36.2,79.1,11.3,28.3,20.7,7.7,3.7
Chicago Bulls*,45.7,38.8,73.4,12.0,31.7,22.3,7.8,5.4
San Antonio Spurs*,47.4,38.1,75.1,9.3,31.4,22.1,7.2,5.1
New Jersey Nets*,45.7,36.3,72.7,10.0,30.8,23.9,6.1,3.3
New York Knicks,45.7,34.6,71.5,12.6,30.7,18.7,6.6,3.2
Houston Rockets*,44.5,37.2,75.3,10.7,32.6,20.8,7.1,4.1
Charlotte Bobcats,44.6,35.7,73.4,11.2,28.6,22.4,7.8,4.5
Cleveland Cavaliers*,44.7,35.2,69.6,12.7,30.8,20.8,7.6,4.3
Minnesota Timberwolves,46.1,35.3,79.2,10.0,30.2,22.5,6.5,4.0
Detroit Pistons*,45.4,34.4,77.4,11.6,29.0,21.6,7.1,5.8
Boston Celtics,44.3,36.7,76.7,11.2,29.2,19.9,7.2,4.7
Los Angeles Clippers,45.6,34.8,78.8,10.8,30.3,21.5,7.3,5.8
Indiana Pacers,43.8,34.6,76.0,12.1,29.8,20.5,7.3,5.5
New Orleans/Oklahoma City Hornets,44.5,36.2,74.0,12.5,30.6,18.7,6.4,4.2
Philadelphia 76ers,45.8,34.5,76.7,11.0,28.7,20.4,7.2,4.8
Orlando Magic*,47.2,35.6,70.2,11.2,29.5,18.6,6.9,5.1
Miami Heat*,46.4,34.3,69.0,10.0,30.8,20.5,6.9,5.4
Portland Trail Blazers,45.0,34.6,76.9,11.3,28.0,18.5,6.8,4.6
Atlanta Hawks,44.4,32.9,76.1,11.9,28.2,19.2,7.4,5.4
