Eastern Conference,W/L%,win%
Boston Celtics*,0.683,4
Philadelphia 76ers*,0.537,11
New York Knicks*,0.476,16
Washington Bullets,0.366,20
New Jersey Nets,0.317,23
Miami Heat,0.293,26
Chicago Bulls*,0.744,2
Detroit Pistons*,0.61,9
Milwaukee Bucks*,0.585,10
Atlanta Hawks*,0.524,13
Indiana Pacers*,0.5,14
Cleveland Cavaliers,0.402,17
Charlotte Hornets,0.317,24
San Antonio Spurs*,0.671,5
Utah Jazz*,0.659,7
Houston Rockets*,0.634,8
Orlando Magic,0.378,18
Minnesota Timberwolves,0.354,21
Dallas Mavericks,0.341,22
Denver Nuggets,0.244,27
Portland Trail Blazers*,0.768,1
Los Angeles Lakers*,0.707,3
Phoenix Suns*,0.671,6
Golden State Warriors*,0.537,12
Seattle SuperSonics*,0.5,15
Los Angeles Clippers,0.378,19
Sacramento Kings,0.305,25
