Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,47.9,39.9,80.6,9.5,32.3,26.6,6.7,5.0
Seattle SuperSonics,45.9,37.1,78.5,12.4,27.2,20.7,7.6,3.7
Washington Wizards*,44.7,35.7,75.7,12.6,28.6,18.6,8.0,4.1
Toronto Raptors,45.4,37.5,79.1,10.5,27.9,19.4,6.5,3.3
Denver Nuggets*,46.1,32.5,74.4,11.0,30.3,23.4,8.5,5.6
Miami Heat*,47.8,34.5,70.0,10.5,32.6,20.6,6.4,5.4
Philadelphia 76ers,45.8,36.4,76.0,10.6,29.6,20.2,7.9,4.9
Los Angeles Lakers*,45.3,34.9,74.5,11.8,30.3,21.1,7.7,4.3
Dallas Mavericks*,46.2,37.4,78.3,12.6,29.6,18.0,7.2,6.0
Sacramento Kings*,45.4,35.1,78.4,10.4,30.2,22.3,7.4,3.6
Golden State Warriors,43.3,34.1,71.8,12.0,30.3,20.7,7.4,4.4
Boston Celtics,46.7,36.2,75.5,9.9,29.7,20.9,7.0,5.1
Milwaukee Bucks*,45.3,38.0,73.8,11.3,29.9,21.6,7.3,3.3
Chicago Bulls*,44.6,37.9,73.8,11.0,31.7,22.0,6.2,4.2
Cleveland Cavaliers*,45.4,33.9,72.9,11.7,30.6,19.0,6.9,4.8
Los Angeles Clippers*,46.5,34.4,79.1,10.1,33.0,20.8,6.5,6.1
Atlanta Hawks,45.4,36.7,75.0,13.0,27.2,19.8,7.2,4.8
Charlotte Bobcats,43.3,33.9,72.9,12.1,27.7,20.9,10.0,4.3
Detroit Pistons*,45.5,38.4,72.7,11.9,28.6,24.0,7.1,6.0
New York Knicks,45.5,36.2,72.6,12.6,28.8,17.9,6.8,3.3
San Antonio Spurs*,47.2,38.5,70.2,10.4,31.1,20.9,6.6,5.7
Orlando Magic,47.2,37.6,73.0,10.9,29.3,18.2,6.5,4.4
Indiana Pacers*,44.4,34.9,73.7,11.0,31.2,19.9,7.3,5.0
New Jersey Nets*,44.0,33.0,75.8,10.0,31.0,23.0,6.8,3.4
New Orleans/Oklahoma City Hornets,44.0,33.9,75.8,11.2,29.0,18.5,7.5,3.8
Utah Jazz,44.2,33.6,71.9,13.1,29.0,21.6,6.4,6.0
Memphis Grizzlies*,44.8,37.4,71.1,10.2,29.0,19.3,7.3,5.4
Minnesota Timberwolves,45.6,32.9,75.8,9.9,29.5,20.9,6.8,5.7
Houston Rockets,43.3,33.2,75.9,10.4,31.3,19.3,7.2,3.9
Portland Trail Blazers,44.5,34.9,68.9,10.8,26.9,18.2,6.5,5.3
