Eastern Conference,W/L%,win%
New Jersey Nets*,0.598,7
Philadelphia 76ers,0.463,18
Boston Celtics,0.402,24
Toronto Raptors,0.329,26
New York Knicks,0.28,29
Detroit Pistons*,0.78,1
Cleveland Cavaliers*,0.61,6
Indiana Pacers*,0.5,14
Chicago Bulls*,0.5,15
Milwaukee Bucks*,0.488,17
Miami Heat*,0.634,5
Washington Wizards*,0.512,13
Orlando Magic,0.439,20
Charlotte Bobcats,0.317,27
Atlanta Hawks,0.317,28
Denver Nuggets*,0.537,11
Utah Jazz,0.5,16
Seattle SuperSonics,0.427,21
Minnesota Timberwolves,0.402,25
Portland Trail Blazers,0.256,30
Phoenix Suns*,0.659,4
Los Angeles Clippers*,0.573,9
Los Angeles Lakers*,0.549,10
Sacramento Kings*,0.537,12
Golden State Warriors,0.415,22
San Antonio Spurs*,0.768,2
Dallas Mavericks*,0.732,3
Memphis Grizzlies*,0.598,8
New Orleans/Oklahoma City Hornets,0.463,19
Houston Rockets,0.415,23
