Eastern Conference,W/L%,win%
New York Knicks*,0.659,7
Brooklyn Nets*,0.598,9
Boston Celtics*,0.506,16
Philadelphia 76ers,0.415,19
Toronto Raptors,0.415,20
Indiana Pacers*,0.605,8
Chicago Bulls*,0.549,11
Milwaukee Bucks*,0.463,18
Detroit Pistons,0.354,23
Cleveland Cavaliers,0.293,28
Miami Heat*,0.805,1
Atlanta Hawks*,0.537,14
Washington Wizards,0.354,24
Charlotte Bobcats,0.256,29
Orlando Magic,0.244,30
Oklahoma City Thunder*,0.732,2
Denver Nuggets*,0.695,4
Utah Jazz,0.524,15
Portland Trail Blazers,0.402,21
Minnesota Timberwolves,0.378,22
Los Angeles Clippers*,0.683,5
Golden State Warriors*,0.573,10
Los Angeles Lakers*,0.549,12
Sacramento Kings,0.341,25
Phoenix Suns,0.305,27
San Antonio Spurs*,0.707,3
Memphis Grizzlies*,0.683,6
Houston Rockets*,0.549,13
Dallas Mavericks,0.5,17
New Orleans Hornets,0.329,26
