Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,47.8,34.3,70.1,13.3,31.7,24.4,9.3,6.5
Houston Rockets*,46.1,36.6,75.4,11.1,32.3,23.2,8.3,4.4
Oklahoma City Thunder*,48.1,37.7,82.8,10.4,33.2,21.4,8.3,7.6
San Antonio Spurs*,48.1,37.6,79.1,8.1,33.2,25.1,8.5,5.4
Miami Heat*,49.6,39.6,75.4,8.2,30.4,23.0,8.7,5.4
Los Angeles Lakers*,45.8,35.5,69.2,11.5,33.3,22.2,7.0,5.2
Golden State Warriors*,45.8,40.3,79.0,10.8,34.2,22.5,6.9,4.2
Los Angeles Clippers*,47.8,35.8,71.1,11.4,30.2,23.9,9.6,5.6
Dallas Mavericks,46.2,37.2,79.3,9.4,32.6,23.2,7.9,5.5
Sacramento Kings,44.7,36.3,76.9,11.5,29.1,20.8,8.2,4.2
New York Knicks*,44.8,37.6,75.9,10.9,29.7,19.3,8.2,3.6
Milwaukee Bucks*,43.5,36.0,73.6,13.0,30.9,22.9,8.4,6.7
Utah Jazz,45.4,36.6,76.4,12.1,30.0,22.7,8.4,6.3
Atlanta Hawks*,46.4,37.1,71.5,9.2,31.6,24.5,8.1,4.5
Portland Trail Blazers,44.8,35.3,77.6,10.7,30.2,21.8,6.6,4.3
Toronto Raptors,44.6,34.3,78.8,10.6,29.6,21.5,7.3,4.8
Brooklyn Nets*,45.0,35.7,73.1,12.8,30.0,20.3,7.3,4.8
Boston Celtics*,46.5,35.8,77.6,8.1,31.3,22.8,8.2,4.5
Cleveland Cavaliers,43.4,34.6,75.6,12.2,28.8,20.7,7.9,4.1
Minnesota Timberwolves,43.9,30.5,74.2,11.9,30.2,22.4,8.5,4.7
Phoenix Suns,44.3,33.0,74.4,11.7,29.9,22.6,8.0,5.3
Detroit Pistons,44.9,35.6,69.9,12.1,30.0,21.2,7.0,4.9
Indiana Pacers*,43.6,34.7,74.6,12.9,33.0,20.3,7.2,6.3
New Orleans Hornets,44.8,36.3,77.6,12.0,29.6,21.0,6.3,5.4
Orlando Magic,44.8,32.9,75.5,10.9,31.9,22.8,6.4,4.4
Memphis Grizzlies*,44.4,34.5,77.3,12.9,29.8,20.9,8.6,5.3
Charlotte Bobcats,42.5,33.5,75.0,11.2,29.1,19.4,7.2,5.8
Philadelphia 76ers,44.4,36.0,72.9,10.9,30.4,22.8,7.4,4.7
Chicago Bulls*,43.7,35.3,77.3,12.5,30.7,23.0,7.2,5.1
Washington Wizards,43.5,36.5,73.3,10.8,32.3,21.6,7.3,4.6
