Eastern Conference,W/L%,win%
Miami Heat*,0.744,3
New York Knicks*,0.695,4
Orlando Magic*,0.549,12
Washington Bullets*,0.537,13
New Jersey Nets,0.317,23
Philadelphia 76ers,0.268,25
Boston Celtics,0.183,28
Chicago Bulls*,0.841,1
Atlanta Hawks*,0.683,7
Detroit Pistons*,0.659,9
Charlotte Hornets*,0.659,10
Cleveland Cavaliers,0.512,14
Indiana Pacers,0.476,17
Milwaukee Bucks,0.402,20
Toronto Raptors,0.366,21
Utah Jazz*,0.78,2
Houston Rockets*,0.695,5
Minnesota Timberwolves*,0.488,15
Dallas Mavericks,0.293,24
Denver Nuggets,0.256,26
San Antonio Spurs,0.244,27
Vancouver Grizzlies,0.171,29
Seattle SuperSonics*,0.695,6
Los Angeles Lakers*,0.683,8
Portland Trail Blazers*,0.598,11
Phoenix Suns*,0.488,16
Los Angeles Clippers*,0.439,18
Sacramento Kings,0.415,19
Golden State Warriors,0.366,22
