Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Utah Jazz*,50.4,37.0,76.9,10.8,29.4,26.8,9.1,5.1
Chicago Bulls*,47.3,37.3,74.7,15.1,30.0,26.1,8.7,4.0
Phoenix Suns*,46.9,36.9,76.1,11.2,29.0,25.2,8.1,3.9
Seattle SuperSonics*,46.7,35.3,75.2,12.3,27.7,23.5,11.0,4.7
Boston Celtics,44.0,35.1,75.0,13.4,26.7,21.9,9.9,3.8
Houston Rockets*,46.8,36.5,75.5,11.3,31.3,24.5,8.4,4.2
Philadelphia 76ers,43.8,31.9,72.5,15.5,28.7,20.7,8.3,4.8
Los Angeles Lakers*,45.4,36.7,69.2,13.3,29.4,22.5,9.0,7.0
Golden State Warriors,45.6,35.3,77.8,13.2,27.5,22.2,7.5,4.4
Washington Bullets*,48.0,33.1,70.7,12.3,29.5,23.4,8.7,4.9
Portland Trail Blazers*,46.4,35.8,71.3,12.9,30.4,20.9,7.8,5.3
Charlotte Hornets*,47.1,42.8,77.7,11.1,28.0,24.6,7.3,4.3
Denver Nuggets,43.9,37.2,76.1,12.1,29.9,23.0,6.1,5.9
Los Angeles Clippers*,44.6,35.4,73.1,13.3,27.3,20.3,8.9,5.4
New Jersey Nets,42.2,35.3,74.0,17.2,29.0,21.0,8.3,5.9
Sacramento Kings,45.4,39.1,72.3,13.4,28.1,21.9,7.2,4.4
Minnesota Timberwolves*,45.6,33.9,75.1,11.7,28.1,22.9,7.5,6.8
Toronto Raptors,43.7,36.3,72.0,13.8,27.5,20.9,8.8,6.3
New York Knicks*,46.3,36.3,74.8,11.9,30.7,22.1,7.7,4.6
Indiana Pacers,45.6,38.1,72.2,12.5,29.1,21.3,7.1,4.8
Milwaukee Bucks,47.1,35.2,74.1,11.6,27.6,19.6,7.7,4.2
Miami Heat*,45.3,36.4,71.9,11.7,29.3,21.2,7.9,5.4
Atlanta Hawks*,44.6,35.9,76.3,12.5,28.7,19.0,8.5,5.2
Detroit Pistons*,46.4,38.8,74.5,10.5,28.0,19.0,7.7,3.5
Orlando Magic*,43.7,34.1,74.6,13.1,27.1,20.6,8.5,4.4
Dallas Mavericks,43.6,32.7,71.7,12.7,27.6,20.3,8.0,4.3
San Antonio Spurs,44.2,32.0,71.9,13.4,26.0,20.3,7.9,5.3
Vancouver Grizzlies,43.7,34.9,70.9,12.5,26.3,22.7,8.0,5.7
Cleveland Cavaliers,45.3,37.6,72.3,11.1,26.3,20.9,8.0,3.8
