Eastern Conference,W/L%,win%
Boston Celtics*,0.756,1
Philadelphia 76ers*,0.756,2
New York Knicks*,0.61,7
Washington Bullets,0.476,13
New Jersey Nets,0.293,21
Milwaukee Bucks*,0.732,3
Chicago Bulls*,0.549,8
Indiana Pacers*,0.537,10
Atlanta Hawks,0.378,18
Cleveland Cavaliers,0.341,19
Detroit Pistons,0.256,22
San Antonio Spurs*,0.634,6
Kansas City Kings*,0.488,11
Houston Rockets*,0.488,12
Denver Nuggets,0.451,15
Utah Jazz,0.341,20
Dallas Mavericks,0.183,23
Phoenix Suns*,0.695,4
Los Angeles Lakers*,0.659,5
Portland Trail Blazers*,0.549,9
Golden State Warriors,0.476,14
San Diego Clippers,0.439,16
Seattle SuperSonics,0.415,17
