Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets,47.5,20.7,78.3,16.2,30.5,24.8,8.8,4.6
Milwaukee Bucks*,49.8,22.9,77.0,15.4,29.4,28.3,10.5,6.5
San Antonio Spurs*,49.1,17.6,76.9,15.9,31.5,25.0,8.4,7.8
Philadelphia 76ers*,51.4,22.6,76.8,13.3,31.9,28.9,10.5,7.2
Los Angeles Lakers*,51.2,18.1,72.9,14.2,30.4,28.8,9.9,6.7
Portland Trail Blazers*,49.6,16.9,71.8,15.2,29.1,27.4,9.4,5.9
Phoenix Suns*,49.0,21.7,74.5,15.0,30.4,26.9,10.7,5.1
Boston Celtics*,50.4,27.0,75.2,14.1,29.6,26.9,8.3,7.2
Golden State Warriors,48.9,28.6,72.7,17.1,28.9,24.7,7.5,3.7
Chicago Bulls*,50.1,21.2,77.4,15.0,30.2,23.5,8.9,6.3
Houston Rockets*,48.7,17.8,77.0,14.8,28.6,25.6,8.6,4.8
New York Knicks*,48.3,23.7,74.7,13.9,26.9,24.1,10.5,3.8
Indiana Pacers*,48.2,17.8,71.5,16.2,27.6,25.5,10.2,5.9
Kansas City Kings*,50.0,29.2,71.4,12.6,29.9,27.7,8.8,4.7
New Jersey Nets,47.5,24.6,75.1,13.3,29.0,25.2,9.1,5.6
San Diego Clippers,47.7,32.4,73.5,14.3,26.1,25.6,9.3,3.6
Cleveland Cavaliers,46.7,28.9,77.8,15.3,27.4,24.5,7.7,3.9
Washington Bullets,47.2,27.0,72.3,14.1,30.9,26.2,7.8,4.8
Atlanta Hawks,47.9,12.2,77.7,14.6,27.1,22.5,9.1,5.7
Seattle SuperSonics,46.8,27.4,76.3,14.2,29.7,23.7,7.7,5.3
Dallas Mavericks,46.2,27.9,75.1,13.5,26.5,24.2,6.8,2.6
Utah Jazz,48.8,25.8,76.7,11.7,28.4,23.8,7.8,4.7
Detroit Pistons,46.3,15.5,72.5,14.6,25.7,22.2,10.8,6.0
