Eastern Conference,W/L%,win%
Miami Heat*,0.634,7
New York Knicks*,0.61,8
Philadelphia 76ers*,0.598,10
Orlando Magic,0.5,17
Boston Celtics,0.427,19
New Jersey Nets,0.378,23
Washington Wizards,0.354,24
Indiana Pacers*,0.683,3
Charlotte Hornets*,0.598,11
Toronto Raptors*,0.549,12
Detroit Pistons*,0.512,15
Milwaukee Bucks*,0.512,16
Cleveland Cavaliers,0.39,22
Atlanta Hawks,0.341,25
Chicago Bulls,0.207,28
Utah Jazz*,0.671,4
San Antonio Spurs*,0.646,5
Minnesota Timberwolves*,0.61,9
Dallas Mavericks,0.488,18
Denver Nuggets,0.427,20
Houston Rockets,0.415,21
Vancouver Grizzlies,0.268,26
Los Angeles Lakers*,0.817,1
Portland Trail Blazers*,0.72,2
Phoenix Suns*,0.646,6
Seattle SuperSonics*,0.549,13
Sacramento Kings*,0.537,14
Golden State Warriors,0.232,27
Los Angeles Clippers,0.183,29
