Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Sacramento Kings*,45.0,32.2,75.4,12.9,32.1,23.8,9.6,4.6
Detroit Pistons*,45.9,35.9,78.1,11.2,30.0,20.8,8.1,3.3
Dallas Mavericks,45.3,39.1,80.4,11.4,29.8,22.1,7.2,5.1
Indiana Pacers*,45.9,39.2,81.1,10.3,31.9,22.6,6.8,5.1
Milwaukee Bucks*,46.5,36.9,78.6,12.4,28.9,22.6,8.2,4.6
Los Angeles Lakers*,45.9,32.9,69.6,13.6,33.4,23.4,7.5,6.5
Orlando Magic,45.2,33.8,73.5,14.0,31.0,20.8,9.1,5.7
Houston Rockets,45.0,35.8,73.3,12.3,31.5,21.6,7.5,5.3
Boston Celtics,44.4,33.1,74.5,13.5,29.5,21.2,9.7,3.5
Seattle SuperSonics*,44.7,33.9,69.5,12.7,30.3,22.9,8.0,4.2
Denver Nuggets,44.2,33.6,72.4,13.1,31.6,23.3,6.8,7.5
Phoenix Suns*,45.7,36.8,75.9,12.5,31.2,25.6,9.1,5.3
Minnesota Timberwolves*,46.7,34.6,78.0,12.4,30.1,26.9,7.6,5.4
Charlotte Hornets*,44.9,33.9,75.8,10.8,32.1,24.7,8.9,5.9
New Jersey Nets,43.3,34.7,78.4,12.7,28.2,20.6,8.8,4.8
Portland Trail Blazers*,47.0,36.1,76.0,11.8,31.2,23.5,7.7,4.8
Toronto Raptors*,43.3,36.3,76.5,13.4,29.9,23.7,8.1,6.6
Cleveland Cavaliers,44.2,37.3,75.0,12.3,30.5,23.7,8.7,4.4
Washington Wizards,45.1,37.6,74.3,13.0,29.7,21.6,7.2,4.7
Utah Jazz*,46.4,38.5,77.3,11.4,29.6,24.9,7.7,5.4
San Antonio Spurs*,46.2,37.4,74.6,11.3,32.5,22.2,7.5,6.7
Golden State Warriors,42.0,32.3,69.7,15.9,29.7,22.6,8.9,4.3
Philadelphia 76ers*,44.2,32.3,70.8,14.0,30.1,22.2,9.6,4.7
Miami Heat*,46.0,37.1,73.6,11.2,31.9,23.5,7.1,6.4
Atlanta Hawks,44.1,31.7,74.3,14.0,31.3,18.9,6.1,5.6
Vancouver Grizzlies,44.9,36.1,77.4,12.3,28.3,20.7,7.4,4.2
New York Knicks*,45.5,37.5,78.1,9.8,30.7,19.4,6.3,4.3
Los Angeles Clippers,42.6,33.9,74.6,11.6,29.0,18.0,7.0,6.0
Chicago Bulls,41.5,32.9,70.9,12.6,28.3,20.1,7.9,4.7
