Eastern Conference,W/L%,win%
Philadelphia 76ers*,0.646,8
Boston Celtics*,0.634,9
New York Knicks*,0.549,11
Washington Bullets,0.378,20
Miami Heat,0.22,25
New Jersey Nets,0.207,27
Detroit Pistons*,0.72,2
Chicago Bulls*,0.671,5
Milwaukee Bucks*,0.537,12
Cleveland Cavaliers*,0.512,14
Indiana Pacers*,0.512,15
Atlanta Hawks,0.5,16
Orlando Magic,0.22,26
San Antonio Spurs*,0.683,4
Utah Jazz*,0.671,6
Dallas Mavericks*,0.573,10
Denver Nuggets*,0.524,13
Houston Rockets*,0.5,17
Minnesota Timberwolves,0.268,23
Charlotte Hornets,0.232,24
Los Angeles Lakers*,0.768,1
Portland Trail Blazers*,0.72,3
Phoenix Suns*,0.659,7
Seattle SuperSonics,0.5,18
Golden State Warriors,0.451,19
Los Angeles Clippers,0.366,21
Sacramento Kings,0.28,22
