Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors,48.4,32.4,80.9,11.2,29.1,24.1,9.2,6.0
Phoenix Suns*,49.6,32.4,79.5,12.8,32.3,25.7,8.1,6.1
Denver Nuggets*,46.4,33.7,78.9,14.3,30.9,27.7,9.9,4.0
Portland Trail Blazers*,47.3,33.6,74.3,16.5,31.1,25.4,9.1,4.4
Orlando Magic,45.9,29.5,75.6,15.9,30.1,24.3,7.5,3.6
Los Angeles Lakers*,49.0,36.7,78.7,13.4,30.0,27.2,8.0,5.4
Philadelphia 76ers*,48.9,34.8,78.8,13.5,29.3,23.6,8.4,4.5
Boston Celtics*,49.8,26.2,83.2,13.0,33.0,29.5,6.6,5.5
Chicago Bulls*,49.8,37.4,77.8,13.1,27.8,26.5,9.9,4.7
Indiana Pacers*,49.7,38.2,81.6,11.5,29.1,24.7,6.7,4.3
Atlanta Hawks,48.7,30.2,76.4,15.5,26.7,22.2,8.7,4.3
New York Knicks*,48.4,33.2,75.6,14.5,29.6,26.1,8.7,6.0
Washington Bullets,47.5,18.8,76.4,14.6,29.9,27.0,6.8,5.2
Seattle SuperSonics,47.9,35.5,74.1,16.1,27.5,22.9,8.5,4.1
Utah Jazz*,50.5,35.9,75.4,11.6,30.5,27.0,8.3,6.0
Houston Rockets*,48.0,31.2,72.0,14.8,32.2,26.8,9.9,6.7
San Antonio Spurs*,48.4,23.9,74.5,14.2,30.2,24.8,9.7,6.8
Milwaukee Bucks*,47.3,31.2,75.8,13.5,27.4,25.0,10.1,4.0
Detroit Pistons*,47.8,32.7,76.1,14.5,30.0,24.3,6.2,5.1
Los Angeles Clippers,48.4,24.3,73.8,12.9,28.8,24.1,9.5,6.2
Cleveland Cavaliers*,46.1,40.7,74.4,13.8,29.0,25.7,7.9,6.2
Dallas Mavericks*,47.5,32.3,76.7,12.7,29.5,21.7,8.1,4.9
Sacramento Kings,46.8,33.3,77.1,11.6,28.8,25.0,6.7,4.8
Miami Heat,46.1,29.3,68.7,15.1,28.2,23.9,9.0,4.7
Charlotte Hornets,45.5,33.6,75.6,11.7,27.0,25.4,9.5,3.2
New Jersey Nets,42.6,27.7,74.6,16.6,28.3,18.0,9.4,5.9
Minnesota Timberwolves,44.6,24.8,74.7,14.6,25.0,22.5,9.6,4.2
