Eastern Conference,W/L%,win%
Boston Celtics*,0.591,10
New York Knicks*,0.545,13
Philadelphia 76ers*,0.53,16
Toronto Raptors,0.348,23
New Jersey Nets,0.333,25
Chicago Bulls*,0.758,1
Indiana Pacers*,0.636,5
Milwaukee Bucks,0.47,19
Detroit Pistons,0.379,22
Cleveland Cavaliers,0.318,27
Miami Heat*,0.697,4
Atlanta Hawks*,0.606,8
Orlando Magic*,0.561,12
Washington Wizards,0.303,29
Charlotte Bobcats,0.106,30
Oklahoma City Thunder*,0.712,3
Denver Nuggets*,0.576,11
Utah Jazz*,0.545,14
Portland Trail Blazers,0.424,20
Minnesota Timberwolves,0.394,21
Los Angeles Lakers*,0.621,6
Los Angeles Clippers*,0.606,9
Phoenix Suns,0.5,18
Golden State Warriors,0.348,24
Sacramento Kings,0.333,26
San Antonio Spurs*,0.758,2
Memphis Grizzlies*,0.621,7
Dallas Mavericks*,0.545,15
Houston Rockets,0.515,17
New Orleans Hornets,0.318,28
