Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,47.6,33.2,73.5,11.2,31.9,24.0,8.2,5.0
San Antonio Spurs*,47.8,39.3,74.8,10.3,32.6,23.2,7.4,4.4
Oklahoma City Thunder*,47.1,35.8,80.6,11.0,32.7,18.5,7.5,8.2
Utah Jazz*,45.6,32.3,75.4,13.0,31.1,21.8,8.3,5.8
Milwaukee Bucks,44.3,34.5,77.4,12.4,30.0,23.5,8.3,5.1
Sacramento Kings,43.6,31.6,73.6,13.4,29.5,19.3,8.5,4.9
Miami Heat*,46.9,35.9,77.5,10.4,31.2,20.0,8.9,5.4
Phoenix Suns,45.8,34.3,75.7,10.9,30.8,22.5,6.5,5.5
Houston Rockets,44.9,35.9,78.2,11.7,30.5,21.3,7.5,4.8
Minnesota Timberwolves,43.3,33.2,77.1,12.1,31.7,19.5,6.6,4.4
Golden State Warriors,45.7,38.8,77.0,9.7,29.5,22.3,8.0,5.5
New York Knicks*,44.3,33.6,74.1,11.3,30.5,20.1,9.4,4.2
Indiana Pacers*,43.8,36.8,78.2,12.5,31.4,18.6,7.9,5.4
Los Angeles Clippers*,45.5,35.7,68.0,12.1,29.4,21.0,8.4,4.8
Los Angeles Lakers*,45.7,32.6,75.6,12.1,34.1,22.5,5.9,5.3
Portland Trail Blazers,44.3,34.6,79.6,11.1,29.5,20.4,8.0,4.9
Atlanta Hawks*,45.4,37.0,74.0,9.9,31.3,22.4,8.1,4.6
Chicago Bulls*,45.2,37.5,72.2,13.9,32.8,23.1,6.9,5.9
Dallas Mavericks*,44.3,33.9,77.1,10.1,32.7,20.9,8.6,5.1
Memphis Grizzlies*,44.7,32.6,75.9,12.6,29.5,19.5,9.6,5.2
Orlando Magic*,44.1,37.5,66.0,11.2,31.2,20.0,6.8,4.2
Washington Wizards,44.1,32.0,72.7,11.7,29.9,19.1,8.0,6.3
Philadelphia 76ers*,44.8,36.2,74.2,10.7,32.5,22.0,8.0,5.2
New Jersey Nets,42.5,34.2,77.7,11.9,28.5,19.9,7.5,3.9
Cleveland Cavaliers,42.2,34.6,71.6,12.7,29.5,19.8,7.1,4.0
Boston Celtics*,46.0,36.7,77.8,7.7,31.1,23.6,7.5,5.5
Detroit Pistons,43.8,34.6,75.2,11.7,28.5,18.7,7.0,4.2
Toronto Raptors,44.0,34.0,77.0,10.6,31.4,20.9,6.5,4.9
New Orleans Hornets,45.1,33.3,75.7,11.0,30.2,20.7,7.4,4.8
Charlotte Bobcats,41.4,29.5,74.6,10.3,28.7,20.1,6.0,5.5
