Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Portland Trail Blazers*,50.4,28.9,77.5,14.4,29.4,28.8,9.4,4.7
Los Angeles Lakers*,51.6,36.7,78.9,13.7,30.7,29.6,8.9,5.9
Dallas Mavericks*,48.7,35.4,79.1,14.9,30.4,24.6,8.4,5.2
Denver Nuggets*,47.1,27.1,76.9,15.8,28.9,28.3,9.2,5.1
Seattle SuperSonics*,48.2,33.5,75.8,16.7,29.2,26.6,8.6,5.5
Boston Celtics*,51.7,36.6,80.8,11.4,31.5,29.5,6.8,6.4
Golden State Warriors*,47.9,31.9,78.0,14.5,28.7,25.4,8.7,3.9
Detroit Pistons*,49.0,23.1,76.5,15.2,32.3,24.6,7.8,5.3
Phoenix Suns,49.7,24.2,76.0,13.6,28.9,28.7,8.6,4.8
Sacramento Kings,47.5,25.1,79.6,15.6,29.8,26.6,6.3,4.8
Milwaukee Bucks*,47.5,32.3,76.6,13.6,28.3,24.9,10.3,4.8
Atlanta Hawks*,48.1,31.8,75.9,16.5,30.2,25.3,8.5,6.2
New Jersey Nets,47.6,32.3,76.7,14.3,29.4,24.3,7.8,4.8
San Antonio Spurs,47.4,29.0,74.2,15.7,28.6,27.1,9.6,4.0
Utah Jazz*,46.4,31.0,72.6,14.6,30.0,27.3,10.2,7.7
Houston Rockets*,47.7,27.5,74.1,14.5,30.3,27.2,8.0,6.8
Philadelphia 76ers*,49.1,25.9,75.3,14.4,28.4,23.7,9.4,6.6
Indiana Pacers*,47.2,29.7,78.2,13.8,30.0,26.5,8.5,3.8
Washington Bullets*,45.4,19.7,76.5,15.9,28.2,21.3,9.2,8.4
Chicago Bulls*,47.3,26.1,77.8,15.2,29.3,26.1,8.3,5.3
Los Angeles Clippers,45.2,22.4,74.2,15.0,26.1,24.0,9.2,5.3
Cleveland Cavaliers,47.0,24.0,69.7,15.3,29.5,23.3,8.2,6.8
New York Knicks,47.4,33.3,73.0,13.5,26.4,23.7,8.6,4.8
