Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,48.6,31.1,78.5,16.2,28.1,27.6,10.9,5.2
Los Angeles Lakers*,54.5,30.5,76.3,13.0,31.1,31.4,8.5,5.9
Detroit Pistons*,48.0,22.6,78.8,17.1,30.9,28.1,8.4,4.8
Portland Trail Blazers*,50.3,25.2,75.1,14.7,28.0,27.1,10.0,6.3
Boston Celtics*,50.8,35.6,80.6,13.6,32.1,27.9,7.9,5.0
San Antonio Spurs*,51.3,27.2,76.3,13.7,30.1,28.2,9.2,5.4
Kansas City Kings,50.4,26.5,77.9,14.2,28.4,28.6,8.1,3.7
Philadelphia 76ers*,49.2,26.3,80.3,15.9,28.8,24.4,10.0,6.5
Houston Rockets*,50.4,22.0,69.9,16.2,29.2,27.3,8.3,7.3
Dallas Mavericks*,48.9,34.3,79.3,13.4,28.6,26.2,7.0,4.1
Milwaukee Bucks*,49.1,30.3,75.7,15.3,28.7,26.4,8.4,5.9
Golden State Warriors,46.3,28.2,76.8,16.2,26.1,21.5,9.8,3.5
New Jersey Nets*,49.0,23.2,72.9,15.0,28.4,26.4,9.4,5.1
Utah Jazz*,47.6,33.6,77.2,13.2,31.1,26.1,8.7,8.5
Chicago Bulls*,50.0,18.0,78.4,13.1,28.9,24.3,7.6,5.7
Cleveland Cavaliers*,47.1,28.7,74.9,14.7,29.8,25.6,7.6,5.8
Indiana Pacers,47.6,19.4,74.4,14.6,32.0,23.7,7.6,4.5
Phoenix Suns*,49.1,28.3,77.1,12.5,29.6,28.5,8.9,4.3
Los Angeles Clippers,49.5,29.8,75.8,14.2,29.7,23.6,6.5,6.1
Atlanta Hawks,48.4,31.1,75.2,14.2,28.6,24.5,8.1,6.6
Washington Bullets*,47.9,27.4,74.3,12.3,29.2,25.5,8.6,4.8
New York Knicks,48.4,25.8,72.6,13.6,25.6,24.4,9.2,3.3
Seattle SuperSonics,47.4,24.3,77.1,12.4,27.9,26.6,7.9,4.2
