Eastern Conference,W/L%,win%
Boston Celtics*,0.768,1
Philadelphia 76ers*,0.707,4
New Jersey Nets*,0.512,9
Washington Bullets*,0.488,13
New York Knicks,0.293,21
Milwaukee Bucks*,0.72,3
Detroit Pistons*,0.561,7
Chicago Bulls*,0.463,14
Cleveland Cavaliers*,0.439,15
Atlanta Hawks,0.415,17
Indiana Pacers,0.268,22
Denver Nuggets*,0.634,5
Houston Rockets*,0.585,6
Dallas Mavericks*,0.537,8
Utah Jazz*,0.5,11
San Antonio Spurs*,0.5,12
Kansas City Kings,0.378,18
Los Angeles Lakers*,0.756,2
Portland Trail Blazers*,0.512,10
Phoenix Suns*,0.439,16
Seattle SuperSonics,0.378,19
Los Angeles Clippers,0.378,20
Golden State Warriors,0.268,23
