Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Milwaukee Bucks*,47.6,35.3,77.3,9.3,40.4,26.0,7.5,5.9
Golden State Warriors*,49.1,38.5,80.1,9.7,36.5,29.4,7.6,6.4
New Orleans Pelicans,47.3,34.4,76.1,11.1,36.2,27.0,7.4,5.4
Philadelphia 76ers*,47.1,35.9,77.1,10.9,36.9,26.9,7.4,5.3
Los Angeles Clippers*,47.1,38.8,79.2,9.7,35.8,24.0,6.8,4.7
Portland Trail Blazers*,46.7,35.9,81.4,11.8,36.2,23.0,6.7,5.0
Oklahoma City Thunder*,45.4,34.8,71.3,12.6,35.5,23.4,9.3,5.2
Toronto Raptors*,47.4,36.6,80.4,9.6,35.6,25.4,8.3,5.3
Sacramento Kings,46.4,37.8,72.6,11.0,34.4,25.4,8.3,4.4
Washington Wizards,46.8,34.1,76.8,9.7,32.7,26.3,8.3,4.6
Houston Rockets*,44.9,35.6,79.1,10.2,31.9,21.2,8.5,4.9
Atlanta Hawks,45.1,35.2,75.2,11.6,34.5,25.8,8.2,5.1
Minnesota Timberwolves,45.6,35.1,78.7,11.3,33.5,24.6,8.3,5.0
Boston Celtics*,46.5,36.5,80.2,9.8,34.7,26.3,8.6,5.3
Brooklyn Nets*,44.9,35.3,74.5,11.0,35.6,23.8,6.6,4.1
Los Angeles Lakers,47.0,33.3,69.9,10.2,36.4,25.6,7.5,5.4
San Antonio Spurs*,47.8,39.2,81.9,9.2,35.5,24.5,6.1,4.7
Utah Jazz*,46.8,35.6,73.6,10.0,36.4,26.0,8.1,5.9
Denver Nuggets*,46.6,35.1,75.5,11.9,34.5,27.4,7.7,4.4
Charlotte Hornets,44.8,35.1,79.7,9.9,33.9,23.2,7.2,4.9
Dallas Mavericks,44.7,34.0,74.2,10.1,35.2,23.4,6.5,4.3
Indiana Pacers*,47.5,37.4,75.2,9.3,33.7,26.0,8.7,4.9
Phoenix Suns,45.9,32.9,77.9,9.1,31.3,23.9,9.0,5.1
Orlando Magic*,45.4,35.6,78.2,10.0,35.4,25.5,6.6,5.4
Detroit Pistons*,44.0,34.8,74.7,11.4,33.6,22.5,6.9,4.0
Miami Heat,45.0,34.9,69.5,11.2,35.1,24.3,7.6,5.5
Chicago Bulls,45.3,35.1,78.3,8.8,34.1,21.9,7.4,4.3
New York Knicks,43.3,34.0,75.9,10.5,34.3,20.1,6.8,5.1
Cleveland Cavaliers,44.4,35.5,79.2,10.7,31.9,20.7,6.5,2.4
Memphis Grizzlies,45.0,34.2,77.2,8.8,33.0,23.9,8.3,5.5
