Eastern Conference,W/L%,win%
Milwaukee Bucks*,0.732,1
Toronto Raptors*,0.707,2
Philadelphia 76ers*,0.622,7
Boston Celtics*,0.598,9
Indiana Pacers*,0.585,11
Brooklyn Nets*,0.512,14
Orlando Magic*,0.512,15
Detroit Pistons*,0.5,16
Charlotte Hornets,0.476,17
Miami Heat,0.476,18
Washington Wizards,0.39,25
Atlanta Hawks,0.354,26
Chicago Bulls,0.268,27
Cleveland Cavaliers,0.232,28
New York Knicks,0.207,30
Golden State Warriors*,0.695,3
Denver Nuggets*,0.659,4
Portland Trail Blazers*,0.646,5
Houston Rockets*,0.646,6
Utah Jazz*,0.61,8
Oklahoma City Thunder*,0.598,10
San Antonio Spurs*,0.585,12
Los Angeles Clippers*,0.585,13
Sacramento Kings,0.476,19
Los Angeles Lakers,0.451,20
Minnesota Timberwolves,0.439,21
Memphis Grizzlies,0.402,22
New Orleans Pelicans,0.402,23
Dallas Mavericks,0.402,24
Phoenix Suns,0.232,29
