Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,49.3,30.2,81.8,13.8,29.8,30.3,8.7,4.3
San Antonio Spurs,50.6,30.0,75.5,15.0,30.8,28.8,8.4,6.0
Detroit Pistons*,48.0,22.7,77.5,17.4,29.7,27.5,8.5,5.1
Los Angeles Lakers*,53.2,25.7,75.4,13.4,30.5,29.9,8.9,5.8
Utah Jazz*,49.8,31.9,78.1,13.4,30.8,27.2,8.5,7.4
Portland Trail Blazers*,50.5,19.4,75.4,15.3,26.8,25.4,9.9,4.8
Boston Celtics*,50.0,24.0,79.2,14.1,31.0,25.9,8.2,5.2
Phoenix Suns*,50.9,25.4,75.9,13.0,28.0,27.0,8.5,4.7
San Diego Clippers,49.6,18.8,73.6,15.9,29.0,24.2,6.9,4.7
Houston Rockets,49.5,19.5,74.0,14.6,30.3,26.9,7.6,6.3
Dallas Mavericks*,50.0,22.8,75.5,13.3,27.6,26.4,7.1,4.4
Kansas City Kings*,48.6,27.5,77.7,14.0,27.7,27.2,8.7,4.7
New Jersey Nets*,49.8,21.1,70.0,14.9,28.2,26.2,9.9,6.1
Golden State Warriors,46.7,24.3,74.3,17.0,26.5,22.4,10.1,4.2
Seattle SuperSonics*,48.8,19.3,78.0,13.0,28.4,27.2,7.8,4.3
Philadelphia 76ers*,49.5,27.1,75.4,14.4,29.0,24.8,9.8,8.0
New York Knicks*,49.5,28.5,77.5,13.3,27.2,24.9,9.8,4.4
Milwaukee Bucks*,49.2,25.4,74.0,13.8,29.1,25.8,7.8,6.0
Indiana Pacers,48.3,23.2,76.6,12.2,29.2,26.5,10.2,4.9
Chicago Bulls,47.4,17.1,74.6,13.9,28.0,25.5,8.4,5.5
Washington Bullets*,48.4,25.2,75.6,12.5,29.1,26.7,6.8,3.9
Cleveland Cavaliers,46.5,26.2,74.3,14.8,29.1,23.5,7.7,4.6
Atlanta Hawks*,47.4,21.7,76.1,13.6,27.2,22.3,7.6,6.8
