Eastern Conference,W/L%,win%
Boston Celtics*,0.756,1
Philadelphia 76ers*,0.634,3
New York Knicks*,0.573,7
New Jersey Nets*,0.549,8
Washington Bullets*,0.427,18
Milwaukee Bucks*,0.61,4
Detroit Pistons*,0.598,5
Atlanta Hawks*,0.488,13
Cleveland Cavaliers,0.341,21
Chicago Bulls,0.329,22
Indiana Pacers,0.317,23
Utah Jazz*,0.549,9
Dallas Mavericks*,0.524,10
Denver Nuggets*,0.463,14
Kansas City Kings*,0.463,15
San Antonio Spurs,0.451,16
Houston Rockets,0.354,20
Los Angeles Lakers*,0.659,2
Portland Trail Blazers*,0.585,6
Seattle SuperSonics*,0.512,11
Phoenix Suns*,0.5,12
Golden State Warriors,0.451,17
San Diego Clippers,0.366,19
