Eastern Conference,W/L%,win%
Boston Celtics*,0.817,1
Philadelphia 76ers*,0.659,4
Washington Bullets*,0.476,12
New Jersey Nets*,0.476,13
New York Knicks,0.28,23
Milwaukee Bucks*,0.695,3
Atlanta Hawks*,0.61,6
Detroit Pistons*,0.561,8
Chicago Bulls*,0.366,19
Cleveland Cavaliers,0.354,21
Indiana Pacers,0.317,22
Houston Rockets*,0.622,5
Denver Nuggets*,0.573,7
Dallas Mavericks*,0.537,9
Utah Jazz*,0.512,10
Sacramento Kings*,0.451,14
San Antonio Spurs*,0.427,15
Los Angeles Lakers*,0.756,2
Portland Trail Blazers*,0.488,11
Phoenix Suns,0.39,16
Los Angeles Clippers,0.39,17
Seattle SuperSonics,0.378,18
Golden State Warriors,0.366,20
