Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Los Angeles Lakers*,52.2,33.7,77.8,13.4,31.2,29.7,8.5,5.1
Dallas Mavericks*,50.1,31.6,77.6,12.9,29.9,25.7,7.4,4.5
Portland Trail Blazers*,49.6,26.9,76.5,14.1,28.2,26.6,10.5,4.3
Denver Nuggets*,47.1,23.3,79.8,14.9,28.3,26.1,10.1,5.1
Milwaukee Bucks*,49.3,32.7,76.4,14.5,29.5,26.3,9.8,5.6
Houston Rockets*,49.0,27.4,73.0,16.0,29.7,28.3,9.1,6.7
Detroit Pistons*,48.4,30.2,78.3,15.6,30.0,28.3,9.0,4.1
Boston Celtics*,50.8,35.1,79.4,12.9,33.6,29.1,7.8,6.2
Golden State Warriors,48.2,31.3,76.0,15.5,28.6,24.6,9.2,4.3
San Antonio Spurs*,50.6,23.5,74.6,13.0,29.4,27.6,9.8,4.8
Philadelphia 76ers*,48.7,22.8,75.8,16.2,29.0,24.6,10.5,6.0
Phoenix Suns,50.3,20.8,72.6,12.6,29.9,27.7,9.4,4.6
Chicago Bulls*,48.1,27.8,76.9,15.6,27.8,24.5,7.4,4.9
New Jersey Nets*,48.6,20.1,75.5,14.4,30.3,26.0,9.1,4.2
Sacramento Kings*,49.0,22.4,77.8,13.8,29.0,28.1,7.3,4.7
Los Angeles Clippers,47.3,27.9,77.0,14.1,27.5,24.0,8.5,6.1
Atlanta Hawks*,49.0,19.9,73.2,15.2,29.3,24.7,9.0,5.3
Utah Jazz*,48.8,20.7,71.6,13.0,30.2,26.8,8.7,8.1
Cleveland Cavaliers,48.0,33.8,75.2,13.2,29.9,25.2,7.6,5.3
Seattle SuperSonics,47.2,26.3,77.9,14.0,27.5,24.1,9.1,3.6
Indiana Pacers,48.1,16.1,73.9,13.9,31.9,26.3,8.0,4.6
Washington Bullets*,46.3,28.4,74.5,13.0,29.7,21.3,7.6,8.7
New York Knicks,46.0,34.3,68.6,13.2,26.5,22.9,8.7,3.8
