Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors*,49.5,38.3,78.8,9.4,35.0,30.4,9.6,6.8
Houston Rockets*,46.2,35.7,76.6,10.9,33.5,25.2,8.2,4.3
Denver Nuggets,46.9,36.8,77.4,11.8,34.6,25.3,6.9,3.9
Cleveland Cavaliers*,47.0,38.4,74.8,9.3,34.4,22.7,6.6,4.0
Washington Wizards*,47.5,37.2,78.4,10.3,32.6,23.9,8.5,4.1
Los Angeles Clippers*,47.5,37.5,74.5,9.0,34.0,22.5,7.5,4.2
Boston Celtics*,45.4,35.9,80.7,9.1,32.9,25.2,7.5,4.1
Portland Trail Blazers*,45.9,37.5,78.0,10.1,33.5,21.1,7.0,5.0
Phoenix Suns,45.0,33.2,77.6,11.9,33.1,19.6,8.2,4.9
Toronto Raptors*,46.4,36.3,79.6,10.6,32.6,18.5,8.3,4.9
Oklahoma City Thunder*,45.2,32.7,74.5,12.2,34.4,21.0,7.9,5.0
Brooklyn Nets,44.4,33.8,78.8,8.8,35.1,21.4,7.2,4.7
Minnesota Timberwolves,46.7,34.9,79.9,11.4,31.0,23.7,8.0,4.5
San Antonio Spurs*,46.9,39.1,79.7,10.0,33.9,23.8,8.0,5.9
Indiana Pacers*,46.5,37.6,81.0,9.0,33.0,22.5,8.2,5.0
Charlotte Hornets,44.2,35.1,81.5,8.8,34.8,23.1,7.0,4.8
Los Angeles Lakers,45.0,34.6,75.4,11.4,32.1,20.9,8.2,3.9
New Orleans Pelicans,45.0,35.0,75.0,8.6,35.1,22.8,7.8,5.5
New York Knicks,44.7,34.8,78.8,12.0,33.2,21.8,7.1,5.5
Milwaukee Bucks*,47.4,37.0,76.8,8.8,31.6,24.2,8.1,5.3
Atlanta Hawks*,45.1,34.1,72.8,10.3,34.1,23.6,8.2,4.8
Miami Heat,45.5,36.5,70.6,10.6,33.0,21.2,7.2,5.7
Chicago Bulls*,44.4,34.0,79.8,12.2,34.1,22.6,7.8,4.8
Sacramento Kings,46.1,37.6,77.5,8.7,32.3,22.5,7.6,4.0
Philadelphia 76ers,44.2,34.0,77.1,9.8,33.0,23.8,8.4,5.1
Detroit Pistons,44.9,33.0,71.9,11.1,34.6,21.1,7.0,3.8
Orlando Magic,44.0,32.8,74.7,9.8,33.3,22.2,7.1,4.8
Utah Jazz*,46.6,37.2,74.7,9.4,33.8,20.1,6.7,5.0
Memphis Grizzlies*,43.5,35.4,78.4,10.8,32.0,21.3,8.0,4.2
Dallas Mavericks,44.0,35.5,80.1,7.9,30.7,20.8,7.5,3.7
