Eastern Conference,W/L%,win%
Boston Celtics*,0.646,4
Cleveland Cavaliers*,0.622,5
Toronto Raptors*,0.622,6
Washington Wizards*,0.598,9
Atlanta Hawks*,0.524,11
Milwaukee Bucks*,0.512,13
Indiana Pacers*,0.512,14
Chicago Bulls*,0.5,15
Miami Heat,0.5,16
Detroit Pistons,0.451,19
Charlotte Hornets,0.439,20
New York Knicks,0.378,24
Orlando Magic,0.354,26
Philadelphia 76ers,0.341,27
Brooklyn Nets,0.244,30
Golden State Warriors*,0.817,1
San Antonio Spurs*,0.744,2
Houston Rockets*,0.671,3
Los Angeles Clippers*,0.622,7
Utah Jazz*,0.622,8
Oklahoma City Thunder*,0.573,10
Memphis Grizzlies*,0.524,12
Portland Trail Blazers*,0.5,17
Denver Nuggets,0.488,18
New Orleans Pelicans,0.415,21
Dallas Mavericks,0.402,22
Sacramento Kings,0.39,23
Minnesota Timberwolves,0.378,25
Los Angeles Lakers,0.317,28
Phoenix Suns,0.293,29
