Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns,50.4,38.3,74.4,11.0,30.7,23.2,7.2,5.1
Golden State Warriors,45.8,37.3,79.1,11.6,30.4,20.9,7.8,6.4
Los Angeles Lakers*,47.4,36.1,77.0,12.4,31.5,23.3,8.8,5.1
New York Knicks,44.5,36.0,78.4,11.1,31.0,21.2,7.4,2.5
Indiana Pacers,45.5,37.8,80.7,11.3,32.5,21.6,7.0,5.3
Denver Nuggets*,47.0,37.1,76.0,11.0,30.6,22.2,8.7,6.0
Utah Jazz*,47.5,34.9,77.1,11.5,29.5,24.7,8.8,4.6
Chicago Bulls*,45.7,38.1,79.6,11.8,30.3,21.1,7.5,5.5
Dallas Mavericks*,46.2,35.0,81.9,11.1,31.6,21.7,7.2,5.2
Orlando Magic*,45.7,38.1,71.5,10.0,33.3,19.4,7.0,5.4
Boston Celtics*,48.6,39.7,76.5,10.6,31.5,22.7,7.6,4.7
Sacramento Kings,44.7,36.8,79.8,10.2,28.9,19.7,6.9,4.3
Cleveland Cavaliers*,46.8,39.3,75.7,10.8,31.4,20.3,7.2,5.3
Portland Trail Blazers*,46.5,38.3,76.5,12.9,28.8,20.3,6.7,4.9
Milwaukee Bucks,44.5,36.3,78.0,11.9,28.9,22.0,7.4,3.8
Toronto Raptors,45.8,37.2,82.4,9.8,30.6,22.4,6.4,4.8
Houston Rockets*,45.3,37.5,80.5,10.5,32.5,20.3,6.7,4.3
Miami Heat*,45.7,35.7,75.4,10.1,29.4,20.4,7.9,5.5
Atlanta Hawks*,45.8,36.6,73.7,10.6,29.4,20.2,7.4,4.6
New Jersey Nets,44.8,37.6,77.9,10.4,29.5,20.0,6.8,4.8
Minnesota Timberwolves,44.1,35.3,76.9,11.9,29.8,20.4,6.2,3.9
Philadelphia 76ers*,45.9,31.8,74.5,12.7,28.5,20.1,8.0,5.1
Oklahoma City Thunder,44.7,34.6,78.6,12.2,30.5,20.3,7.4,4.5
San Antonio Spurs*,46.6,38.6,76.1,8.9,32.2,21.2,5.8,4.0
Washington Wizards,45.0,33.0,76.7,11.7,28.4,20.0,7.5,4.5
New Orleans Hornets*,45.7,36.4,80.7,9.8,29.9,19.6,7.2,4.1
Los Angeles Clippers,44.1,35.4,73.6,10.9,29.0,21.0,7.0,5.9
Detroit Pistons*,45.4,34.9,75.1,11.6,29.9,20.6,6.0,4.6
Memphis Grizzlies,45.4,36.0,75.6,10.3,28.5,17.4,7.5,4.7
Charlotte Bobcats,45.5,36.6,74.0,10.8,28.9,21.2,7.1,4.8
