Eastern Conference,W/L%,win%
Boston Celtics*,0.756,3
Philadelphia 76ers*,0.5,15
New Jersey Nets,0.415,20
Toronto Raptors,0.402,22
New York Knicks,0.39,23
Cleveland Cavaliers*,0.805,1
Chicago Bulls*,0.5,16
Detroit Pistons*,0.476,17
Indiana Pacers,0.439,18
Milwaukee Bucks,0.415,21
Orlando Magic*,0.72,4
Atlanta Hawks*,0.573,12
Miami Heat*,0.524,14
Charlotte Bobcats,0.427,19
Washington Wizards,0.232,28
Denver Nuggets*,0.659,5
Portland Trail Blazers*,0.659,6
Utah Jazz*,0.585,11
Minnesota Timberwolves,0.293,25
Oklahoma City Thunder,0.28,27
Los Angeles Lakers*,0.793,2
Phoenix Suns,0.561,13
Golden State Warriors,0.354,24
Los Angeles Clippers,0.232,29
Sacramento Kings,0.207,30
San Antonio Spurs*,0.659,7
Houston Rockets*,0.646,8
Dallas Mavericks*,0.61,9
New Orleans Hornets*,0.598,10
Memphis Grizzlies,0.293,26
