Eastern Conference,W/L%,win%
New York Knicks*,0.695,3
Orlando Magic*,0.61,9
New Jersey Nets*,0.549,14
Miami Heat*,0.512,15
Boston Celtics,0.39,19
Philadelphia 76ers,0.305,22
Washington Bullets,0.293,23
Atlanta Hawks*,0.695,4
Chicago Bulls*,0.671,6
Indiana Pacers*,0.573,11
Cleveland Cavaliers*,0.573,12
Charlotte Hornets,0.5,17
Milwaukee Bucks,0.244,24
Detroit Pistons,0.244,25
Houston Rockets*,0.707,2
San Antonio Spurs*,0.671,7
Utah Jazz*,0.646,8
Denver Nuggets*,0.512,16
Minnesota Timberwolves,0.244,26
Dallas Mavericks,0.159,27
Seattle SuperSonics*,0.768,1
Phoenix Suns*,0.683,5
Golden State Warriors*,0.61,10
Portland Trail Blazers*,0.573,13
Los Angeles Lakers,0.402,18
Sacramento Kings,0.341,20
Los Angeles Clippers,0.329,21
