Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,48.4,33.0,72.8,14.9,29.9,27.6,9.1,5.6
Golden State Warriors*,49.2,33.9,66.4,14.4,29.2,26.8,9.8,6.2
Portland Trail Blazers*,45.4,35.3,74.3,15.9,30.0,25.2,9.1,5.0
Charlotte Hornets,47.6,36.7,76.4,12.4,30.2,27.0,8.8,4.8
Seattle SuperSonics*,48.4,33.5,74.5,14.0,27.2,25.8,12.8,4.5
Orlando Magic*,48.5,34.7,67.8,14.4,28.7,25.2,8.3,5.6
Miami Heat*,46.4,33.8,78.5,15.1,29.4,22.6,7.8,4.6
New Jersey Nets*,44.5,32.7,76.2,15.9,31.2,23.2,8.5,7.0
Los Angeles Clippers,46.7,30.3,70.9,13.7,29.4,26.5,9.8,5.1
Utah Jazz*,47.7,32.0,74.0,12.9,29.1,26.6,9.2,4.4
Atlanta Hawks*,46.1,32.3,75.2,15.2,29.5,25.1,11.2,5.5
Cleveland Cavaliers*,46.5,36.2,77.0,13.3,28.7,25.0,8.6,5.2
Sacramento Kings,45.2,35.3,73.1,13.7,28.6,24.7,8.2,4.3
Houston Rockets*,47.5,33.4,74.3,11.3,31.9,25.5,8.7,5.9
Indiana Pacers*,48.6,36.8,73.8,13.8,29.4,25.1,8.6,5.6
Boston Celtics,47.2,28.9,73.0,12.6,29.0,23.5,8.2,5.4
Los Angeles Lakers,45.0,30.0,71.7,15.4,26.9,24.2,9.2,5.6
Washington Bullets,46.8,29.7,74.8,13.1,26.7,22.2,8.5,3.9
Denver Nuggets*,46.5,28.5,71.8,13.5,31.2,21.5,8.3,8.4
San Antonio Spurs*,47.5,34.9,74.2,14.5,31.7,23.1,6.8,5.5
New York Knicks*,46.0,34.8,74.6,14.3,31.0,25.2,9.2,4.7
Philadelphia 76ers,45.5,33.8,71.4,12.3,29.2,22.3,8.1,6.4
Chicago Bulls*,47.6,35.4,70.5,13.9,29.2,25.6,9.0,4.3
Milwaukee Bucks,44.7,32.5,70.2,13.7,26.3,23.7,9.8,5.0
Detroit Pistons,45.2,34.4,73.1,12.5,28.3,21.5,7.3,3.8
Minnesota Timberwolves,45.7,32.9,77.2,12.1,28.6,24.0,7.3,5.4
Dallas Mavericks,43.2,31.2,74.7,15.5,26.2,19.9,9.4,3.6
