Eastern Conference,W/L%,win%
Boston Celtics*,0.805,1
Toronto Raptors*,0.5,15
Philadelphia 76ers*,0.488,17
New Jersey Nets,0.415,21
New York Knicks,0.28,25
Detroit Pistons*,0.72,2
Cleveland Cavaliers*,0.549,13
Indiana Pacers,0.439,20
Chicago Bulls,0.402,22
Milwaukee Bucks,0.317,24
Orlando Magic*,0.634,9
Washington Wizards*,0.524,14
Atlanta Hawks*,0.451,19
Charlotte Bobcats,0.39,23
Miami Heat,0.183,30
Utah Jazz*,0.659,8
Denver Nuggets*,0.61,11
Portland Trail Blazers,0.5,16
Minnesota Timberwolves,0.268,27
Seattle SuperSonics,0.244,29
Los Angeles Lakers*,0.695,3
Phoenix Suns*,0.671,6
Golden State Warriors,0.585,12
Sacramento Kings,0.463,18
Los Angeles Clippers,0.28,26
New Orleans Hornets*,0.683,4
San Antonio Spurs*,0.683,5
Houston Rockets*,0.671,7
Dallas Mavericks*,0.622,10
Memphis Grizzlies,0.268,28
