Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors,45.9,34.8,75.2,12.7,30.4,22.4,9.1,4.6
Denver Nuggets*,47.0,35.5,75.1,11.2,32.9,24.7,9.2,6.7
Phoenix Suns*,50.0,39.3,78.3,8.8,32.7,26.7,6.5,6.3
Los Angeles Lakers*,47.6,37.8,76.9,11.0,33.2,24.4,8.0,5.3
Utah Jazz*,49.7,37.2,75.9,11.5,29.4,26.4,8.7,4.3
Orlando Magic*,47.4,38.6,72.1,9.4,32.6,20.8,6.3,4.1
Indiana Pacers,44.4,37.4,76.8,11.0,32.1,22.7,7.6,5.0
Sacramento Kings,46.4,37.3,79.8,10.1,30.0,19.1,7.9,4.1
New Orleans Hornets*,46.6,38.9,76.9,11.4,30.4,21.8,7.8,3.9
Memphis Grizzlies,45.4,34.9,72.3,10.3,31.3,19.2,6.1,4.7
Boston Celtics*,47.5,38.1,77.1,10.1,31.9,22.4,8.5,4.6
Dallas Mavericks*,46.4,35.2,81.4,10.8,32.2,21.0,6.0,4.9
Toronto Raptors*,46.8,39.2,81.2,9.6,30.4,23.8,7.0,4.1
Washington Wizards*,44.6,35.6,78.2,12.3,29.3,19.6,7.7,4.8
Atlanta Hawks*,45.4,35.6,77.2,12.3,29.9,22.0,7.3,5.5
Detroit Pistons*,45.8,36.6,76.7,11.9,29.5,22.3,7.1,5.8
Seattle SuperSonics,44.4,33.3,77.0,11.8,32.8,21.3,6.5,4.9
Chicago Bulls,43.5,36.3,75.6,12.8,30.2,22.1,7.7,5.2
Charlotte Bobcats,45.2,36.7,71.4,10.9,29.8,21.3,7.5,4.9
Milwaukee Bucks,44.9,34.4,73.3,12.9,28.8,21.5,6.6,4.4
New York Knicks,43.9,33.7,72.7,12.5,30.0,18.7,6.4,2.6
Houston Rockets*,44.8,34.2,72.6,12.2,32.4,21.4,7.3,5.1
Philadelphia 76ers*,46.0,31.7,70.6,13.0,28.9,20.4,8.7,4.9
Cleveland Cavaliers*,43.9,35.8,71.7,13.3,31.3,20.0,7.1,5.2
New Jersey Nets,44.3,34.8,73.6,11.1,30.7,23.5,6.4,4.8
Minnesota Timberwolves,45.1,35.0,73.6,11.8,29.6,19.9,7.5,3.7
Portland Trail Blazers,44.8,37.7,76.7,11.0,29.7,21.1,5.5,4.4
San Antonio Spurs*,45.7,36.9,76.1,9.4,31.9,21.0,6.4,4.1
Los Angeles Clippers,43.8,32.4,78.1,9.8,30.4,21.1,6.8,4.9
Miami Heat,44.3,35.8,72.7,9.1,28.6,20.0,7.2,4.3
