Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors*,50.7,33.3,74.6,13.9,29.0,25.2,10.4,4.6
Indiana Pacers*,49.4,35.4,79.0,13.2,31.3,29.2,8.6,4.8
Phoenix Suns*,49.2,38.1,77.6,13.3,31.2,26.9,8.2,7.1
Portland Trail Blazers*,47.3,34.4,75.4,15.8,31.1,25.2,9.2,5.0
Chicago Bulls*,50.8,30.4,74.4,14.3,29.7,27.8,8.2,5.9
Charlotte Hornets,47.7,31.7,75.5,14.2,28.9,27.9,10.0,3.8
Cleveland Cavaliers*,48.8,35.7,80.5,12.7,29.9,27.6,7.5,7.6
Utah Jazz*,49.2,34.5,78.8,13.4,31.0,26.7,8.7,5.5
Boston Celtics*,49.2,30.6,80.8,13.4,31.5,25.3,7.8,5.9
Seattle SuperSonics*,47.4,31.7,78.3,15.6,27.5,22.9,9.5,5.5
Atlanta Hawks,46.7,31.3,73.1,15.7,30.5,25.9,9.7,3.9
New Jersey Nets*,45.8,33.4,73.2,18.4,29.2,23.6,9.0,7.5
Miami Heat*,46.1,34.2,79.0,14.5,28.9,21.3,8.2,4.5
Milwaukee Bucks,46.0,36.9,75.9,15.8,26.5,24.6,10.5,3.9
Sacramento Kings,46.6,35.3,74.7,12.9,28.7,23.9,8.9,7.5
San Antonio Spurs*,47.6,29.2,73.6,15.0,31.1,24.5,8.9,7.4
Los Angeles Clippers*,47.3,28.9,72.0,13.8,29.2,25.0,10.0,6.1
Washington Bullets,46.1,27.2,77.8,13.0,28.6,24.5,8.7,5.1
Houston Rockets,47.5,34.3,73.8,13.1,29.7,25.1,8.0,7.0
Philadelphia 76ers,47.1,33.4,77.5,12.9,28.2,21.4,8.4,5.9
New York Knicks*,47.7,32.5,73.4,14.5,30.4,26.0,7.7,4.7
Orlando Magic,45.3,32.4,74.6,14.3,28.4,21.9,7.8,4.5
Minnesota Timberwolves,45.8,32.0,74.3,14.2,26.4,24.7,7.5,6.4
Los Angeles Lakers*,45.6,26.7,76.6,14.1,26.8,22.0,9.2,4.9
Denver Nuggets,44.2,30.1,73.8,16.5,28.7,18.9,9.4,5.6
Detroit Pistons*,46.5,31.4,74.3,14.8,29.5,23.2,6.7,4.4
Dallas Mavericks,43.9,33.6,75.0,14.6,29.7,19.9,6.5,4.3
