Eastern Conference,W/L%,win%
Boston Celtics*,0.622,7
New York Knicks*,0.622,8
New Jersey Nets*,0.488,15
Miami Heat*,0.463,17
Philadelphia 76ers,0.427,19
Washington Bullets,0.305,23
Orlando Magic,0.256,26
Chicago Bulls*,0.817,1
Cleveland Cavaliers*,0.695,2
Detroit Pistons*,0.585,9
Indiana Pacers*,0.488,16
Atlanta Hawks,0.463,18
Milwaukee Bucks,0.378,20
Charlotte Hornets,0.378,21
Utah Jazz*,0.671,4
San Antonio Spurs*,0.573,10
Houston Rockets,0.512,14
Denver Nuggets,0.293,24
Dallas Mavericks,0.268,25
Minnesota Timberwolves,0.183,27
Portland Trail Blazers*,0.695,3
Golden State Warriors*,0.671,5
Phoenix Suns*,0.646,6
Seattle SuperSonics*,0.573,11
Los Angeles Clippers*,0.549,12
Los Angeles Lakers*,0.524,13
Sacramento Kings,0.354,22
