Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Los Angeles Clippers*,47.4,35.2,73.0,10.5,32.5,24.6,8.6,4.8
Houston Rockets*,47.2,35.8,71.2,11.2,34.1,21.4,7.6,5.6
Minnesota Timberwolves,44.4,34.1,77.8,12.5,32.2,23.9,8.8,3.6
Portland Trail Blazers*,45.0,37.2,81.5,12.5,34.0,23.2,5.5,4.7
Oklahoma City Thunder*,47.1,36.1,80.6,10.8,33.9,21.9,8.3,6.1
San Antonio Spurs*,48.6,39.7,78.5,9.3,34.0,25.2,7.4,5.1
Phoenix Suns,46.3,37.2,75.8,11.3,31.7,19.1,8.4,4.6
Dallas Mavericks*,47.4,38.4,79.5,10.2,30.7,23.6,8.6,4.3
Denver Nuggets,44.7,35.8,72.6,12.3,33.1,22.4,7.5,5.6
Golden State Warriors*,46.2,38.0,75.3,10.9,34.4,23.3,7.8,5.0
Los Angeles Lakers,45.0,38.1,75.7,9.1,32.0,24.5,7.5,5.4
Miami Heat*,50.1,36.4,76.0,7.6,29.2,22.5,8.9,4.5
Toronto Raptors*,44.5,37.2,78.2,11.4,31.1,21.2,7.0,4.2
Atlanta Hawks*,45.8,36.3,78.1,8.7,31.3,24.9,8.3,4.0
Detroit Pistons,44.7,32.1,67.0,14.6,30.8,20.9,8.4,4.8
Washington Wizards*,45.9,38.0,73.1,10.8,31.4,23.3,8.1,4.6
Sacramento Kings,44.7,33.3,75.9,12.1,32.4,18.9,7.2,3.9
New Orleans Pelicans,45.9,37.3,76.9,11.4,30.3,21.3,7.9,6.4
Philadelphia 76ers,43.5,31.2,71.0,11.6,31.2,21.8,9.3,4.0
New York Knicks,44.9,37.2,76.1,10.6,29.7,20.0,7.7,4.5
Brooklyn Nets*,45.9,36.9,75.3,8.8,29.4,20.9,8.6,3.8
Cleveland Cavaliers,43.7,35.6,75.1,12.1,32.1,21.2,7.1,3.7
Charlotte Bobcats*,44.2,35.1,73.7,9.5,33.2,21.7,6.1,5.1
Indiana Pacers*,44.9,35.7,77.9,10.2,34.5,20.1,6.7,5.4
Orlando Magic,44.5,35.3,76.3,9.7,32.4,21.0,7.7,4.3
Boston Celtics,43.5,33.3,77.7,12.0,30.5,21.0,7.1,4.2
Memphis Grizzlies*,46.4,35.3,74.1,11.6,30.8,21.9,7.7,4.6
Milwaukee Bucks,43.8,35.3,74.7,11.8,29.3,21.5,6.6,4.9
Utah Jazz,44.4,34.4,74.7,11.0,30.2,20.3,7.0,4.5
Chicago Bulls*,43.2,34.8,77.9,11.4,32.7,22.7,7.2,5.2
