Eastern Conference,W/L%,win%
Toronto Raptors*,0.585,11
Brooklyn Nets*,0.537,14
New York Knicks,0.451,19
Boston Celtics,0.305,26
Philadelphia 76ers,0.232,29
Indiana Pacers*,0.683,4
Chicago Bulls*,0.585,12
Cleveland Cavaliers,0.402,22
Detroit Pistons,0.354,23
Milwaukee Bucks,0.183,30
Miami Heat*,0.659,5
Washington Wizards*,0.537,15
Charlotte Bobcats*,0.524,16
Atlanta Hawks*,0.463,18
Orlando Magic,0.28,28
Oklahoma City Thunder*,0.72,2
Portland Trail Blazers*,0.659,6
Minnesota Timberwolves,0.488,17
Denver Nuggets,0.439,20
Utah Jazz,0.305,27
Los Angeles Clippers*,0.695,3
Golden State Warriors*,0.622,8
Phoenix Suns,0.585,13
Sacramento Kings,0.341,24
Los Angeles Lakers,0.329,25
San Antonio Spurs*,0.756,1
Houston Rockets*,0.659,7
Memphis Grizzlies*,0.61,9
Dallas Mavericks*,0.598,10
New Orleans Pelicans,0.415,21
