Eastern Conference,W/L%,win%
Miami Heat*,0.66,4
Orlando Magic*,0.66,5
Philadelphia 76ers*,0.56,11
New York Knicks*,0.54,13
Boston Celtics,0.38,22
Washington Wizards,0.36,24
New Jersey Nets,0.32,25
Indiana Pacers*,0.66,6
Atlanta Hawks*,0.62,7
Detroit Pistons*,0.58,10
Milwaukee Bucks*,0.56,12
Charlotte Hornets,0.52,16
Toronto Raptors,0.46,19
Cleveland Cavaliers,0.44,20
Chicago Bulls,0.26,27
San Antonio Spurs*,0.74,1
Utah Jazz*,0.74,2
Houston Rockets*,0.62,8
Minnesota Timberwolves*,0.5,17
Dallas Mavericks,0.38,23
Denver Nuggets,0.28,26
Vancouver Grizzlies,0.16,29
Portland Trail Blazers*,0.7,3
Los Angeles Lakers*,0.62,9
Phoenix Suns*,0.54,14
Sacramento Kings*,0.54,15
Seattle SuperSonics,0.5,18
Golden State Warriors,0.42,21
Los Angeles Clippers,0.18,28
