Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Sacramento Kings*,44.5,30.8,68.3,14.1,31.5,22.6,8.9,4.6
Los Angeles Lakers*,46.8,35.2,68.3,12.4,29.6,21.9,7.8,5.7
Phoenix Suns*,44.9,37.2,76.0,12.0,28.4,25.0,8.9,4.0
Seattle SuperSonics,44.2,34.4,68.1,13.5,28.4,21.7,7.9,4.0
Portland Trail Blazers*,44.2,36.4,74.3,12.9,31.4,21.5,8.2,5.8
Indiana Pacers*,44.8,36.8,79.6,11.5,29.0,20.1,6.3,4.5
Houston Rockets*,46.2,36.8,72.9,10.7,30.8,21.2,7.7,5.2
Denver Nuggets,42.1,32.8,76.2,12.9,27.8,19.4,7.5,5.5
Utah Jazz*,46.5,36.1,76.7,11.1,30.2,24.1,8.0,5.5
Boston Celtics,43.6,36.0,69.2,13.6,29.2,21.5,9.1,5.1
Charlotte Hornets,44.9,36.5,74.7,9.6,29.9,22.2,8.9,4.9
Minnesota Timberwolves*,42.5,29.8,74.3,15.1,27.8,24.4,8.5,5.4
San Antonio Spurs*,45.6,33.0,69.8,12.3,31.7,22.0,8.4,7.0
Milwaukee Bucks*,45.9,37.3,73.3,11.4,27.4,20.6,8.8,4.0
Dallas Mavericks,43.4,33.9,72.8,12.9,29.6,18.4,7.0,5.8
New Jersey Nets,40.6,33.1,76.9,14.3,28.7,18.5,9.8,5.5
Washington Wizards,44.5,30.9,70.5,11.9,28.1,21.3,7.9,3.9
Toronto Raptors,42.1,34.1,76.0,14.2,28.9,20.7,8.8,6.4
Los Angeles Clippers,42.7,32.0,72.1,13.3,25.9,16.4,8.5,4.7
Detroit Pistons*,44.7,36.5,74.0,12.1,28.2,20.2,8.9,4.2
Philadelphia 76ers*,42.6,26.4,72.2,14.6,28.6,18.7,10.8,5.4
Orlando Magic*,42.8,33.0,70.0,13.8,28.9,21.3,9.9,4.3
Miami Heat*,45.3,35.9,73.5,10.1,30.2,20.4,6.5,6.1
Vancouver Grizzlies,42.8,32.7,71.7,13.0,27.2,19.3,8.4,4.0
Golden State Warriors,41.5,28.7,67.6,16.3,31.2,20.7,8.3,4.4
New York Knicks*,43.5,35.3,73.2,11.0,30.2,19.3,7.9,5.2
Cleveland Cavaliers,43.9,34.1,74.9,9.4,26.3,21.9,9.0,4.1
Atlanta Hawks*,40.9,30.6,73.1,13.5,30.0,15.6,6.9,5.2
Chicago Bulls,40.1,28.9,70.9,11.5,27.9,20.3,8.7,3.4
