Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,47.7,39.3,74.8,11.8,32.3,23.5,7.0,5.5
Sacramento Kings*,45.9,37.4,78.7,12.5,29.9,24.5,8.2,3.9
Dallas Mavericks*,45.7,36.4,78.9,12.1,30.9,19.6,8.6,5.6
Miami Heat*,48.6,37.7,67.2,10.8,32.2,21.8,6.4,5.8
Boston Celtics*,46.8,34.9,76.4,11.1,29.7,22.1,8.1,5.2
Washington Wizards*,43.7,34.3,72.5,13.8,29.0,19.1,8.7,4.2
Toronto Raptors,44.4,38.5,77.4,10.3,29.8,20.4,7.6,3.9
Denver Nuggets*,45.9,34.0,76.3,11.8,30.2,23.9,9.1,6.0
Orlando Magic,45.4,34.9,75.9,12.7,31.0,19.3,7.7,5.4
Philadelphia 76ers*,43.7,34.8,78.9,11.1,30.9,20.9,9.2,3.9
Seattle SuperSonics*,44.4,36.5,79.0,12.7,28.2,18.1,6.7,4.1
Los Angeles Lakers,43.7,35.5,77.7,12.5,30.6,20.4,6.2,4.2
Golden State Warriors,43.0,35.2,72.2,13.0,29.7,22.1,7.8,5.1
New York Knicks,45.1,35.6,76.7,11.8,29.2,20.3,7.7,3.2
Milwaukee Bucks,45.0,35.1,77.2,12.0,29.3,21.0,6.5,3.5
Minnesota Timberwolves,45.9,34.5,79.6,11.5,31.5,23.4,5.6,5.5
Cleveland Cavaliers,44.7,33.2,75.2,13.6,28.7,22.6,8.0,5.6
San Antonio Spurs*,45.3,36.3,72.4,12.0,30.4,21.6,7.5,6.6
Los Angeles Clippers,45.9,34.5,77.8,12.0,29.9,23.2,7.3,5.1
Houston Rockets*,44.3,36.4,78.1,10.7,31.7,21.1,6.9,4.6
Chicago Bulls*,43.2,35.7,75.0,12.2,31.6,21.3,7.0,4.5
Charlotte Bobcats,43.2,36.3,70.9,13.2,28.5,21.9,8.5,5.4
Memphis Grizzlies*,44.7,35.7,75.4,10.8,28.1,20.9,8.5,5.8
Detroit Pistons*,44.4,34.5,73.9,12.9,30.6,21.8,7.0,6.1
Utah Jazz,44.9,32.8,75.7,12.8,27.4,22.3,6.6,4.6
Indiana Pacers*,43.2,34.4,79.2,10.6,29.5,18.2,7.5,4.4
Portland Trail Blazers,45.1,36.2,72.5,11.8,29.3,21.0,7.1,6.6
Atlanta Hawks,44.1,31.2,71.1,13.4,28.5,19.7,7.7,4.2
New Jersey Nets*,42.9,36.2,76.3,10.4,29.1,21.6,7.9,3.8
New Orleans Hornets,41.5,31.5,76.6,12.4,27.8,21.0,6.7,3.8
