Eastern Conference,W/L%,win%
Boston Celtics*,0.549,11
Philadelphia 76ers*,0.524,16
New Jersey Nets*,0.512,17
Toronto Raptors,0.402,23
New York Knicks,0.402,24
Detroit Pistons*,0.659,5
Chicago Bulls*,0.573,10
Indiana Pacers*,0.537,14
Cleveland Cavaliers,0.512,18
Milwaukee Bucks,0.366,25
Miami Heat*,0.72,2
Washington Wizards*,0.549,12
Orlando Magic,0.439,20
Charlotte Bobcats,0.22,28
Atlanta Hawks,0.159,30
Seattle SuperSonics*,0.634,6
Denver Nuggets*,0.598,9
Minnesota Timberwolves,0.537,15
Portland Trail Blazers,0.329,26
Utah Jazz,0.317,27
Phoenix Suns*,0.756,1
Sacramento Kings*,0.61,8
Los Angeles Clippers,0.451,19
Los Angeles Lakers,0.415,21
Golden State Warriors,0.415,22
San Antonio Spurs*,0.72,3
Dallas Mavericks*,0.707,4
Houston Rockets*,0.622,7
Memphis Grizzlies*,0.549,13
New Orleans Hornets,0.22,29
