Eastern Conference,W/L%,win%
Philadelphia 76ers*,0.683,2
Miami Heat*,0.61,9
New York Knicks*,0.585,11
Orlando Magic*,0.524,17
Boston Celtics,0.439,20
New Jersey Nets,0.317,24
Washington Wizards,0.232,27
Milwaukee Bucks*,0.634,7
Toronto Raptors*,0.573,12
Charlotte Hornets*,0.561,14
Indiana Pacers*,0.5,18
Detroit Pistons,0.39,21
Cleveland Cavaliers,0.366,23
Atlanta Hawks,0.305,25
Chicago Bulls,0.183,29
San Antonio Spurs*,0.707,1
Utah Jazz*,0.646,5
Dallas Mavericks*,0.646,6
Minnesota Timberwolves*,0.573,13
Houston Rockets,0.549,15
Denver Nuggets,0.488,19
Vancouver Grizzlies,0.28,26
Los Angeles Lakers*,0.683,3
Sacramento Kings*,0.671,4
Phoenix Suns*,0.622,8
Portland Trail Blazers*,0.61,10
Seattle SuperSonics,0.537,16
Los Angeles Clippers,0.378,22
Golden State Warriors,0.207,28
