Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Sacramento Kings*,44.9,35.4,77.1,12.0,33.0,22.6,9.7,5.3
Milwaukee Bucks*,45.8,37.9,78.7,11.9,30.5,22.5,8.2,4.7
Los Angeles Lakers*,46.5,34.4,68.3,13.2,31.5,23.0,6.9,6.0
Dallas Mavericks*,45.9,38.1,79.4,10.1,31.4,21.2,7.5,6.0
Toronto Raptors*,43.7,36.9,74.7,13.6,30.8,24.4,7.3,6.3
Orlando Magic*,43.8,36.4,71.4,13.0,29.9,22.0,8.2,5.9
Seattle SuperSonics,45.6,39.9,73.2,12.2,29.5,21.9,8.0,5.0
Minnesota Timberwolves*,45.8,35.7,78.5,12.2,30.1,25.4,8.3,5.6
Houston Rockets,45.3,35.7,75.8,11.2,30.8,19.7,7.2,4.4
Utah Jazz*,47.1,38.1,75.2,11.5,29.1,25.7,8.1,5.6
Denver Nuggets,43.3,35.5,73.7,12.7,31.5,24.0,6.7,6.6
San Antonio Spurs*,46.1,40.7,71.5,11.0,33.1,21.7,6.9,7.0
Detroit Pistons,42.4,35.0,72.1,13.5,32.0,19.9,7.5,5.5
Portland Trail Blazers*,46.8,34.9,76.2,11.7,30.3,23.9,8.2,5.1
Philadelphia 76ers*,44.7,32.6,74.5,13.1,31.7,20.6,8.4,5.0
Boston Celtics,42.8,36.3,74.0,10.9,28.9,20.8,9.4,4.1
Phoenix Suns*,43.6,31.5,75.5,11.8,30.8,23.2,9.5,5.2
Washington Wizards,43.9,32.4,75.9,12.4,28.9,20.1,7.7,4.7
Indiana Pacers*,44.0,34.2,76.6,11.2,31.6,21.5,6.9,5.9
Los Angeles Clippers,44.8,33.9,69.3,11.7,31.2,19.3,6.0,6.3
Golden State Warriors,40.9,29.3,70.6,16.4,29.1,21.8,9.0,5.0
Cleveland Cavaliers,44.2,33.4,76.5,12.4,29.8,20.8,7.8,5.3
New Jersey Nets,42.5,33.3,75.9,11.1,28.5,19.5,7.9,5.0
Charlotte Hornets*,43.1,34.6,74.5,12.6,31.8,23.2,8.1,5.5
Vancouver Grizzlies,43.9,34.3,77.0,10.9,29.6,23.2,7.1,4.4
Atlanta Hawks,43.1,35.7,75.9,12.5,30.4,19.0,7.7,4.7
Miami Heat*,43.0,34.5,75.9,9.9,29.7,19.9,7.7,3.7
New York Knicks*,44.4,35.1,79.6,9.4,30.8,18.5,6.6,4.2
Chicago Bulls,42.4,34.6,73.9,11.3,27.6,22.1,8.2,4.6
