Eastern Conference,W/L%,win%
Philadelphia 76ers*,0.681,3
Brooklyn Nets*,0.667,4
Milwaukee Bucks*,0.639,7
New York Knicks*,0.569,11
Atlanta Hawks*,0.569,12
Miami Heat*,0.556,13
Boston Celtics*,0.5,16
Washington Wizards*,0.472,17
Indiana Pacers,0.472,18
Charlotte Hornets,0.458,19
Chicago Bulls,0.431,21
Toronto Raptors,0.375,24
Cleveland Cavaliers,0.306,26
Orlando Magic,0.292,28
Detroit Pistons,0.278,29
Utah Jazz*,0.722,1
Phoenix Suns*,0.708,2
Denver Nuggets*,0.653,5
Los Angeles Clippers*,0.653,6
Dallas Mavericks*,0.583,8
Portland Trail Blazers*,0.583,9
Los Angeles Lakers*,0.583,10
Golden State Warriors,0.542,14
Memphis Grizzlies*,0.528,15
San Antonio Spurs,0.458,20
New Orleans Pelicans,0.431,22
Sacramento Kings,0.431,23
Minnesota Timberwolves,0.319,25
Oklahoma City Thunder,0.306,27
Houston Rockets,0.236,30
