Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,49.3,36.3,75.3,13.9,30.6,25.5,9.2,5.5
Charlotte Hornets*,48.7,32.6,77.1,13.4,30.6,26.4,7.8,5.8
Golden State Warriors,48.2,35.0,71.7,14.9,29.1,24.5,8.5,4.7
Portland Trail Blazers*,45.8,32.6,74.5,15.0,30.6,24.0,9.4,5.2
Seattle SuperSonics*,48.6,35.7,76.1,14.9,27.5,23.2,11.5,5.0
Sacramento Kings,46.3,33.2,76.2,13.9,27.8,25.3,9.4,4.2
Indiana Pacers*,48.0,32.6,76.6,14.9,29.9,26.1,7.5,4.9
Cleveland Cavaliers*,49.7,38.1,80.2,11.3,30.4,28.6,7.5,6.5
Atlanta Hawks*,46.6,35.5,74.2,15.7,28.6,25.4,9.8,3.4
Los Angeles Clippers*,48.4,27.1,71.8,14.4,28.8,27.3,10.3,6.0
Utah Jazz*,48.9,31.4,76.6,12.7,30.0,26.5,9.1,4.2
Orlando Magic,48.6,35.7,73.0,12.7,31.3,23.8,6.6,5.7
San Antonio Spurs*,49.0,34.1,76.5,11.2,31.0,24.5,7.1,6.3
Chicago Bulls*,48.2,36.5,73.3,15.7,27.8,26.0,9.5,5.0
Denver Nuggets,46.0,30.4,75.6,15.4,31.3,21.2,7.9,6.9
Philadelphia 76ers,45.6,35.1,78.6,12.6,29.6,24.9,8.2,6.9
Los Angeles Lakers*,47.3,29.9,75.6,13.5,27.9,24.5,9.5,5.3
Houston Rockets*,48.6,36.1,75.8,12.0,30.9,25.8,8.3,6.6
Boston Celtics*,48.7,28.7,77.7,13.1,29.7,24.4,7.9,5.6
Miami Heat,45.6,35.4,77.1,13.8,29.1,20.6,7.4,4.3
New Jersey Nets*,46.2,31.8,76.7,15.7,30.6,22.8,8.5,6.4
Milwaukee Bucks,47.2,33.3,74.2,12.8,25.8,25.4,10.5,4.8
Washington Bullets,46.7,30.1,74.8,12.6,28.3,25.7,8.2,4.4
New York Knicks*,46.5,32.0,74.1,14.0,32.4,25.9,8.3,4.5
Detroit Pistons,45.3,32.2,72.9,15.8,28.2,23.7,7.1,3.0
Dallas Mavericks,43.5,33.8,70.5,15.0,27.6,20.5,7.9,4.3
Minnesota Timberwolves,46.6,29.2,79.8,11.5,26.9,24.4,7.9,5.5
