Eastern Conference,W/L%,win%
New York Knicks*,0.732,2
Boston Celtics*,0.585,9
New Jersey Nets*,0.524,12
Orlando Magic,0.5,14
Miami Heat,0.439,19
Philadelphia 76ers,0.317,23
Washington Bullets,0.268,25
Chicago Bulls*,0.695,3
Cleveland Cavaliers*,0.659,6
Charlotte Hornets*,0.537,11
Atlanta Hawks*,0.524,13
Indiana Pacers*,0.5,15
Detroit Pistons,0.488,17
Milwaukee Bucks,0.341,22
Houston Rockets*,0.671,4
San Antonio Spurs*,0.598,8
Utah Jazz*,0.573,10
Denver Nuggets,0.439,20
Minnesota Timberwolves,0.232,26
Dallas Mavericks,0.134,27
Phoenix Suns*,0.756,1
Seattle SuperSonics*,0.671,5
Portland Trail Blazers*,0.622,7
Los Angeles Clippers*,0.5,16
Los Angeles Lakers*,0.476,18
Golden State Warriors,0.415,21
Sacramento Kings,0.305,24
