Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,49.2,41.2,77.0,11.1,31.9,23.3,5.8,5.1
Golden State Warriors,46.9,37.5,78.2,9.2,29.2,22.4,9.3,4.1
Denver Nuggets*,46.8,35.9,77.2,10.8,30.5,21.0,8.3,5.1
Utah Jazz*,49.1,36.4,74.1,10.6,31.6,26.7,8.2,4.9
Toronto Raptors,48.2,37.1,76.4,9.8,30.6,22.0,5.7,4.7
Orlando Magic*,47.0,37.5,72.4,9.9,33.4,19.7,6.2,5.6
Memphis Grizzlies,46.9,33.7,73.3,13.0,30.4,18.8,7.9,4.9
Houston Rockets,44.7,35.1,77.2,11.8,30.1,21.8,7.1,3.9
Cleveland Cavaliers*,48.5,38.1,72.0,9.6,32.8,22.4,6.9,5.2
New York Knicks,45.5,34.6,78.2,10.2,30.2,21.6,7.1,3.7
Dallas Mavericks*,46.4,37.2,81.6,10.2,31.5,23.4,7.6,5.5
Los Angeles Lakers*,45.7,34.1,76.5,11.9,32.5,21.1,7.5,4.9
Atlanta Hawks*,46.8,36.0,75.9,11.8,29.9,21.8,7.2,5.0
Oklahoma City Thunder*,46.2,34.0,80.5,11.7,31.8,20.0,8.0,5.9
San Antonio Spurs*,47.3,35.8,74.0,10.8,32.0,22.3,6.3,4.6
Indiana Pacers,44.3,34.8,77.5,9.6,31.9,21.1,7.1,5.4
New Orleans Hornets,46.4,36.3,77.8,10.4,29.9,22.3,7.6,3.7
Sacramento Kings,45.6,34.9,72.6,11.9,30.7,20.5,6.9,4.5
Boston Celtics*,48.3,34.8,74.6,8.7,29.9,23.5,8.5,4.9
Minnesota Timberwolves,44.9,34.1,74.6,11.7,31.2,19.8,7.3,3.7
Portland Trail Blazers*,46.1,35.4,79.0,11.1,29.1,20.4,6.4,4.3
Milwaukee Bucks*,43.6,35.6,75.5,11.8,31.2,21.2,7.1,4.7
Philadelphia 76ers,46.0,34.3,75.6,11.5,29.5,21.0,8.1,5.4
Chicago Bulls*,45.1,33.0,75.4,11.4,33.1,20.8,6.5,5.8
Miami Heat*,45.8,34.6,75.2,10.7,31.1,18.9,7.4,5.6
Washington Wizards,44.9,35.3,76.2,11.8,30.0,19.0,6.0,5.1
Los Angeles Clippers,45.5,33.2,73.0,11.3,30.5,22.1,6.5,5.7
Charlotte Bobcats*,45.3,34.6,75.1,10.5,30.4,20.2,7.7,5.4
Detroit Pistons,44.5,31.4,72.8,12.8,27.3,19.4,7.3,3.8
New Jersey Nets,42.9,31.8,78.0,10.9,28.8,18.8,7.0,4.8
