Eastern Conference,W/L%,win%
Boston Celtics*,0.61,9
Toronto Raptors,0.488,18
New York Knicks,0.354,22
Philadelphia 76ers,0.329,24
New Jersey Nets,0.146,30
Cleveland Cavaliers*,0.744,1
Milwaukee Bucks*,0.561,14
Chicago Bulls*,0.5,17
Indiana Pacers,0.39,21
Detroit Pistons,0.329,25
Orlando Magic*,0.72,2
Atlanta Hawks*,0.646,6
Miami Heat*,0.573,13
Charlotte Bobcats*,0.537,15
Washington Wizards,0.317,26
Denver Nuggets*,0.646,7
Utah Jazz*,0.646,8
Portland Trail Blazers*,0.61,10
Oklahoma City Thunder*,0.61,11
Minnesota Timberwolves,0.183,29
Los Angeles Lakers*,0.695,3
Phoenix Suns*,0.659,5
Los Angeles Clippers,0.354,23
Golden State Warriors,0.317,27
Sacramento Kings,0.305,28
Dallas Mavericks*,0.671,4
San Antonio Spurs*,0.61,12
Houston Rockets,0.512,16
Memphis Grizzlies,0.488,19
New Orleans Hornets,0.451,20
