Eastern Conference,W/L%,win%
New Jersey Nets*,0.598,8
Philadelphia 76ers*,0.585,9
Boston Celtics*,0.537,13
Orlando Magic*,0.512,16
Washington Wizards,0.451,20
New York Knicks,0.451,21
Miami Heat,0.305,26
Detroit Pistons*,0.61,5
Indiana Pacers*,0.585,10
New Orleans Hornets*,0.573,11
Milwaukee Bucks*,0.512,17
Atlanta Hawks,0.427,22
Chicago Bulls,0.366,23
Toronto Raptors,0.293,27
Cleveland Cavaliers,0.207,28
San Antonio Spurs*,0.732,1
Dallas Mavericks*,0.732,2
Minnesota Timberwolves*,0.622,4
Utah Jazz*,0.573,12
Houston Rockets,0.524,15
Memphis Grizzlies,0.341,24
Denver Nuggets,0.207,29
Sacramento Kings*,0.72,3
Los Angeles Lakers*,0.61,6
Portland Trail Blazers*,0.61,7
Phoenix Suns*,0.537,14
Seattle SuperSonics,0.488,18
Golden State Warriors,0.463,19
Los Angeles Clippers,0.329,25
