Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Dallas Mavericks*,45.3,38.1,82.9,11.1,31.0,22.4,8.1,5.5
Golden State Warriors,44.1,34.4,77.8,15.7,31.0,20.9,7.2,6.2
Sacramento Kings*,46.4,38.1,74.6,11.0,33.5,24.8,9.0,5.6
Los Angeles Lakers*,45.1,35.6,73.4,13.1,31.1,23.3,7.8,5.7
Milwaukee Bucks*,45.7,38.3,77.6,10.7,28.9,22.2,7.6,4.2
Orlando Magic*,43.6,35.7,77.7,11.7,29.2,20.4,8.5,3.7
Minnesota Timberwolves*,46.6,36.8,77.0,11.7,31.9,25.2,6.7,5.3
Memphis Grizzlies,45.2,36.5,73.9,11.5,30.1,23.1,7.9,6.1
Philadelphia 76ers*,44.8,31.1,77.5,12.7,29.5,21.6,10.3,3.5
Indiana Pacers*,44.1,33.9,76.6,12.2,32.0,23.3,8.5,5.4
New York Knicks,44.1,38.3,81.5,10.3,29.0,22.0,7.1,3.1
San Antonio Spurs*,46.2,35.4,72.5,11.5,31.2,20.0,7.7,6.5
Phoenix Suns*,44.3,34.3,74.2,12.8,29.8,21.0,8.1,4.9
New Jersey Nets*,44.1,33.2,75.7,12.1,30.8,23.0,8.7,4.6
Portland Trail Blazers*,46.0,33.0,74.5,12.1,29.0,22.7,8.8,3.9
Chicago Bulls,44.5,35.0,72.2,12.0,31.0,21.7,7.4,5.6
Utah Jazz*,46.8,34.9,74.5,12.5,29.0,25.6,8.6,5.7
Atlanta Hawks,44.4,35.2,79.3,11.4,31.2,20.5,7.5,5.8
New Orleans Hornets*,43.5,37.6,76.8,13.4,30.2,22.0,8.0,4.8
Los Angeles Clippers,43.7,33.1,75.0,12.3,30.0,19.6,7.0,5.6
Houston Rockets,44.0,34.6,76.8,12.5,31.3,18.4,7.2,6.0
Boston Celtics*,41.5,33.4,74.2,10.4,30.1,19.2,8.8,3.7
Seattle SuperSonics,43.7,35.3,74.4,11.7,29.1,21.6,8.3,3.6
Washington Wizards,44.0,31.2,77.9,11.2,29.2,19.7,7.6,4.8
Detroit Pistons*,43.0,35.8,77.1,10.8,29.8,19.8,6.8,5.7
Cleveland Cavaliers,42.2,32.7,74.7,13.6,31.0,20.9,7.8,6.4
Toronto Raptors,42.7,34.3,71.8,12.5,28.7,19.3,7.4,4.8
Miami Heat,41.2,31.6,76.5,11.6,30.0,18.3,7.2,4.0
Denver Nuggets,41.1,27.8,69.9,13.6,28.8,21.2,8.7,5.1
