Eastern Conference,W/L%,win%
Orlando Magic*,0.732,3
New York Knicks*,0.573,9
Miami Heat*,0.512,14
Washington Bullets,0.476,17
Boston Celtics,0.402,21
New Jersey Nets,0.366,22
Philadelphia 76ers,0.22,28
Chicago Bulls*,0.878,1
Indiana Pacers*,0.634,7
Cleveland Cavaliers*,0.573,10
Atlanta Hawks*,0.561,11
Detroit Pistons*,0.561,12
Charlotte Hornets,0.5,15
Milwaukee Bucks,0.305,26
Toronto Raptors,0.256,27
San Antonio Spurs*,0.72,4
Utah Jazz*,0.671,5
Houston Rockets*,0.585,8
Denver Nuggets,0.427,20
Minnesota Timberwolves,0.317,24
Dallas Mavericks,0.317,25
Vancouver Grizzlies,0.183,29
Seattle SuperSonics*,0.78,2
Los Angeles Lakers*,0.646,6
Portland Trail Blazers*,0.537,13
Phoenix Suns*,0.5,16
Sacramento Kings*,0.476,18
Golden State Warriors,0.439,19
Los Angeles Clippers,0.354,23
