Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Chicago Bulls*,47.8,40.3,74.6,15.2,29.4,24.8,9.1,4.2
Seattle SuperSonics*,48.0,36.4,76.0,11.6,29.9,24.4,10.8,4.8
Orlando Magic*,48.2,37.8,69.1,11.8,29.3,25.4,8.1,5.0
Phoenix Suns*,47.3,33.2,77.1,12.3,30.5,24.4,7.6,4.0
Boston Celtics,45.6,37.1,71.4,12.8,29.6,21.9,8.0,5.0
San Antonio Spurs*,47.7,39.2,73.6,11.4,31.5,24.9,7.9,6.5
Los Angeles Lakers*,48.0,35.1,74.6,12.1,28.1,25.4,8.8,6.3
Charlotte Hornets,47.0,38.4,77.0,12.0,27.5,23.3,7.1,3.4
Washington Bullets,48.4,40.7,72.8,11.3,28.4,22.1,7.2,6.2
Utah Jazz*,48.8,37.2,76.8,12.1,28.9,26.1,8.1,5.1
Houston Rockets*,46.4,36.2,76.5,11.2,29.9,24.2,7.9,5.8
Dallas Mavericks,42.0,36.0,72.2,17.2,29.0,23.3,7.8,4.2
Golden State Warriors,45.6,37.3,75.9,14.3,27.9,23.0,8.6,5.7
Sacramento Kings*,45.7,38.7,73.1,13.6,28.6,22.3,7.8,5.3
Los Angeles Clippers,47.2,37.0,70.2,11.9,26.7,20.4,8.6,5.0
Indiana Pacers*,48.0,37.3,75.5,12.3,27.6,23.4,7.1,3.9
Portland Trail Blazers*,45.8,35.3,66.2,14.1,31.4,21.5,7.2,5.1
Atlanta Hawks*,44.8,35.5,75.7,14.4,26.2,19.6,9.4,3.9
Minnesota Timberwolves,45.9,32.6,77.7,12.0,27.7,22.8,7.9,5.9
Denver Nuggets,45.1,34.6,74.3,12.9,30.3,22.6,6.4,7.3
Toronto Raptors,46.7,35.4,72.3,13.1,27.0,23.5,9.1,6.0
New York Knicks*,47.1,37.7,75.7,10.1,29.9,22.2,7.9,4.6
Miami Heat*,45.7,37.9,71.0,12.2,30.4,21.4,7.0,5.4
Milwaukee Bucks,46.7,33.8,73.8,11.9,26.4,21.4,7.1,3.7
Detroit Pistons*,45.9,40.4,75.1,10.8,29.8,19.6,6.2,4.3
Philadelphia 76ers,43.6,34.2,73.4,12.6,26.4,19.9,7.8,5.1
New Jersey Nets,42.7,33.5,74.5,16.5,30.5,21.4,7.6,7.0
Cleveland Cavaliers*,46.0,37.7,76.3,10.6,25.1,22.2,8.2,4.1
Vancouver Grizzlies,42.8,32.9,72.4,11.7,26.5,20.8,8.9,4.1
