Eastern Conference,W/L%,win%
Toronto Raptors*,0.72,2
Boston Celtics*,0.671,4
Philadelphia 76ers*,0.634,5
Cleveland Cavaliers*,0.61,6
Indiana Pacers*,0.585,8
Miami Heat*,0.537,15
Milwaukee Bucks*,0.537,16
Washington Wizards*,0.524,17
Detroit Pistons,0.476,19
Charlotte Hornets,0.439,20
New York Knicks,0.354,22
Brooklyn Nets,0.341,23
Chicago Bulls,0.329,24
Orlando Magic,0.305,26
Atlanta Hawks,0.293,27
Houston Rockets*,0.793,1
Golden State Warriors*,0.707,3
Portland Trail Blazers*,0.598,7
Oklahoma City Thunder*,0.585,9
Utah Jazz*,0.585,10
New Orleans Pelicans*,0.585,11
San Antonio Spurs*,0.573,12
Minnesota Timberwolves*,0.573,13
Denver Nuggets,0.561,14
Los Angeles Clippers,0.512,18
Los Angeles Lakers,0.427,21
Sacramento Kings,0.329,25
Dallas Mavericks,0.293,28
Memphis Grizzlies,0.268,29
Phoenix Suns,0.256,30
