Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors*,50.3,39.1,81.5,8.4,35.1,29.3,8.0,7.5
Houston Rockets*,46.0,36.2,78.1,9.0,34.5,21.5,8.5,4.8
New Orleans Pelicans*,48.3,36.2,77.2,8.7,35.7,26.8,8.0,5.9
Toronto Raptors*,47.2,35.8,79.4,9.8,34.2,24.3,7.6,6.1
Cleveland Cavaliers*,47.6,37.2,77.9,8.5,33.7,23.4,7.1,3.8
Denver Nuggets,47.0,37.1,76.7,11.0,33.5,25.1,7.6,4.9
Philadelphia 76ers*,47.2,36.9,75.2,10.9,36.5,27.1,8.3,5.1
Minnesota Timberwolves*,47.6,35.7,80.4,10.3,31.6,22.7,8.4,4.2
Los Angeles Clippers,47.1,35.4,74.3,10.1,33.7,22.3,7.7,4.5
Charlotte Hornets,45.0,36.9,74.7,10.1,35.4,21.6,6.8,4.5
Los Angeles Lakers,46.1,34.5,71.4,10.7,35.7,23.8,7.7,4.7
Oklahoma City Thunder*,45.3,35.4,71.6,12.5,32.6,21.3,9.1,5.0
Washington Wizards*,46.7,37.5,77.2,10.0,33.1,25.2,7.9,4.3
Brooklyn Nets,44.1,35.6,77.2,9.7,34.8,23.7,6.2,4.8
Milwaukee Bucks*,47.8,35.5,78.3,8.4,31.5,23.2,8.8,5.4
Indiana Pacers*,47.2,36.9,77.9,9.6,32.7,22.2,8.8,4.1
Portland Trail Blazers*,45.2,36.6,80.0,10.2,35.3,19.5,7.0,5.2
New York Knicks,46.4,35.2,78.7,10.5,33.6,23.3,6.7,5.1
Utah Jazz*,46.2,36.6,77.9,9.0,34.2,22.4,8.6,5.1
Boston Celtics*,45.0,37.7,77.1,9.4,35.1,22.5,7.4,4.5
Phoenix Suns,44.2,33.4,74.1,10.3,33.9,21.3,6.9,4.5
Detroit Pistons,45.0,37.3,74.5,10.1,33.6,22.8,7.7,3.9
Miami Heat*,45.5,36.0,75.5,9.3,34.2,22.7,7.6,5.3
Orlando Magic,45.2,35.1,75.7,8.8,32.8,23.4,7.6,4.9
Atlanta Hawks,44.6,36.0,78.5,9.1,32.8,23.7,7.8,4.2
Chicago Bulls,43.5,35.5,75.9,9.6,35.0,23.5,7.6,3.5
San Antonio Spurs*,45.7,35.2,77.2,10.4,33.9,22.8,7.7,5.6
Dallas Mavericks,44.4,36.0,76.3,8.1,33.1,22.7,7.0,3.8
Memphis Grizzlies,44.4,35.2,78.6,9.5,31.0,21.5,7.5,4.8
Sacramento Kings,45.0,37.5,73.5,9.5,31.4,21.6,7.8,4.1
