Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Phoenix Suns*,49.8,34.9,79.1,13.4,31.9,27.8,8.5,5.1
Denver Nuggets*,46.8,33.7,78.7,14.7,30.6,27.8,9.9,5.3
New York Knicks*,48.6,33.7,75.2,16.1,27.6,25.4,11.0,5.4
Golden State Warriors*,46.8,30.8,79.9,16.1,31.2,24.5,10.1,7.8
Los Angeles Lakers*,50.2,34.0,80.2,13.3,31.9,27.8,8.8,5.1
Portland Trail Blazers*,47.4,33.5,74.0,16.9,29.0,27.0,10.1,4.7
Seattle SuperSonics*,47.7,37.9,74.6,17.0,27.3,25.4,10.5,6.0
Philadelphia 76ers*,48.6,31.6,78.7,13.9,28.7,25.7,8.4,4.3
Atlanta Hawks*,47.2,27.7,80.0,16.7,28.2,24.3,10.0,5.8
Boston Celtics*,49.3,25.2,78.3,14.4,29.8,26.7,7.8,5.1
Milwaukee Bucks*,47.4,31.6,82.1,13.8,27.7,25.3,10.0,3.9
Cleveland Cavaliers*,50.2,35.9,74.7,12.6,30.2,27.6,9.6,7.1
Houston Rockets*,47.4,31.4,75.5,14.8,31.1,24.6,9.6,6.1
Washington Bullets,46.4,21.4,77.2,15.3,28.7,25.0,8.5,4.0
Indiana Pacers,48.7,32.8,78.9,13.0,30.5,24.5,6.9,5.1
Detroit Pistons*,49.4,30.0,76.9,14.1,31.0,24.7,6.4,5.0
Chicago Bulls*,49.5,32.8,78.6,12.4,29.9,27.0,8.8,4.6
Los Angeles Clippers,47.5,23.1,72.3,14.1,29.1,26.9,9.9,6.5
Sacramento Kings,45.7,37.3,77.0,13.9,29.9,24.0,7.6,5.0
San Antonio Spurs,46.8,21.5,69.8,15.8,26.6,24.8,11.7,5.2
Utah Jazz*,48.2,30.0,77.0,12.8,31.8,25.7,8.8,7.1
Charlotte Hornets,46.1,31.2,76.7,13.9,26.8,28.3,8.6,3.2
New Jersey Nets,46.1,32.9,73.1,14.7,29.5,21.9,9.4,5.3
Dallas Mavericks,46.9,31.0,78.9,12.8,29.2,22.8,7.1,5.8
Miami Heat,45.3,32.6,70.2,16.0,27.0,23.9,9.1,5.0
