Eastern Conference,W/L%,win%
New York Knicks*,0.634,5
Philadelphia 76ers*,0.561,11
Boston Celtics*,0.512,15
Washington Bullets,0.488,16
New Jersey Nets,0.317,21
Charlotte Hornets,0.244,24
Detroit Pistons*,0.768,1
Cleveland Cavaliers*,0.695,2
Atlanta Hawks*,0.634,6
Milwaukee Bucks*,0.598,8
Chicago Bulls*,0.573,9
Indiana Pacers,0.341,19
Utah Jazz*,0.622,7
Houston Rockets*,0.549,12
Denver Nuggets*,0.537,13
Dallas Mavericks,0.463,18
San Antonio Spurs,0.256,22
Miami Heat,0.183,25
Los Angeles Lakers*,0.695,3
Phoenix Suns*,0.671,4
Seattle SuperSonics*,0.573,10
Golden State Warriors*,0.524,14
Portland Trail Blazers*,0.476,17
Sacramento Kings,0.329,20
Los Angeles Clippers,0.256,23
