Eastern Conference,W/L%,win%
Cleveland Cavaliers*,0.695,3
Toronto Raptors*,0.683,4
Miami Heat*,0.585,7
Atlanta Hawks*,0.585,8
Boston Celtics*,0.585,9
Charlotte Hornets*,0.585,10
Indiana Pacers*,0.549,11
Detroit Pistons*,0.537,12
Chicago Bulls,0.512,14
Washington Wizards,0.5,17
Orlando Magic,0.427,20
Milwaukee Bucks,0.402,21
New York Knicks,0.39,24
Brooklyn Nets,0.256,28
Philadelphia 76ers,0.122,30
Golden State Warriors*,0.89,1
San Antonio Spurs*,0.817,2
Oklahoma City Thunder*,0.671,5
Los Angeles Clippers*,0.646,6
Portland Trail Blazers*,0.537,13
Dallas Mavericks*,0.512,15
Memphis Grizzlies*,0.512,16
Houston Rockets*,0.5,18
Utah Jazz,0.488,19
Sacramento Kings,0.402,22
Denver Nuggets,0.402,23
New Orleans Pelicans,0.366,25
Minnesota Timberwolves,0.354,26
Phoenix Suns,0.28,27
Los Angeles Lakers,0.207,29
