Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Golden State Warriors*,48.7,41.6,76.3,10.0,36.2,28.9,8.4,6.1
Oklahoma City Thunder*,47.6,34.9,78.2,13.1,35.6,23.0,7.4,5.9
Sacramento Kings,46.4,35.9,72.5,10.6,33.7,24.5,8.9,4.5
Houston Rockets*,45.2,34.7,69.4,11.3,31.7,22.2,10.0,5.2
Boston Celtics*,43.9,33.5,78.8,11.6,33.3,24.2,9.2,4.2
Portland Trail Blazers*,45.0,37.0,75.4,11.6,33.9,21.3,6.9,4.6
Los Angeles Clippers*,46.5,36.4,69.2,8.8,33.3,22.8,8.6,5.6
Cleveland Cavaliers*,46.0,36.2,74.8,10.6,33.9,22.7,6.7,3.9
Washington Wizards,46.0,35.8,73.0,9.1,32.8,24.5,8.6,3.9
San Antonio Spurs*,48.4,37.5,80.3,9.4,34.5,24.5,8.3,5.9
Charlotte Hornets*,43.9,36.2,79.0,9.0,35.0,21.7,7.3,5.3
Atlanta Hawks*,45.8,35.0,78.3,8.3,33.8,25.6,9.1,5.9
Toronto Raptors*,45.1,37.0,77.7,10.2,33.2,18.7,7.8,5.5
New Orleans Pelicans,44.8,36.0,77.6,9.5,33.1,22.2,7.7,4.2
Minnesota Timberwolves,46.4,33.8,79.2,10.0,31.5,23.4,8.0,4.6
Dallas Mavericks*,44.4,34.4,79.4,9.2,33.9,22.1,6.8,3.7
Indiana Pacers*,45.0,35.1,76.4,10.3,33.9,21.2,9.0,4.8
Orlando Magic,45.5,35.0,75.7,10.3,33.0,23.6,8.2,5.1
Detroit Pistons*,43.9,34.5,66.8,12.5,33.9,19.4,7.0,3.7
Denver Nuggets,44.2,33.8,76.6,11.5,33.1,22.7,7.4,4.8
Chicago Bulls,44.1,37.1,78.7,11.1,35.2,22.8,6.0,5.7
Phoenix Suns,43.5,34.8,75.1,11.5,33.3,20.7,7.7,3.8
Miami Heat*,47.0,33.6,74.4,9.8,34.3,20.8,6.7,6.5
Memphis Grizzlies*,44.0,33.1,78.3,11.2,30.5,20.7,8.8,4.3
Milwaukee Bucks,46.7,34.5,74.7,10.5,31.2,23.1,8.2,5.8
Brooklyn Nets,45.3,35.2,75.7,10.5,31.9,22.3,7.6,4.0
New York Knicks,43.9,34.6,80.5,10.4,34.0,20.5,5.7,5.7
Utah Jazz,44.9,35.5,74.4,10.7,32.5,19.0,7.7,5.2
Philadelphia 76ers,43.1,33.9,69.4,9.5,31.8,21.5,8.3,6.0
Los Angeles Lakers,41.4,31.7,78.1,10.7,32.3,18.0,7.2,4.1
