Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Denver Nuggets*,47.4,34.2,80.4,14.2,29.8,28.0,10.1,4.9
Portland Trail Blazers*,49.1,30.8,77.0,15.3,30.4,28.1,8.9,4.2
Boston Celtics*,52.1,38.4,80.3,11.3,29.8,29.9,7.6,5.1
San Antonio Spurs*,49.0,32.3,73.3,14.4,28.5,28.6,9.0,5.7
Los Angeles Lakers*,50.5,29.7,78.9,13.1,30.4,28.6,8.2,4.9
Seattle SuperSonics*,47.6,34.6,74.8,16.0,28.2,26.2,9.5,5.5
Dallas Mavericks*,47.5,29.3,78.9,16.4,30.4,24.2,7.9,5.4
Detroit Pistons*,49.3,28.7,75.7,14.4,30.3,24.5,7.2,4.8
Houston Rockets*,47.1,23.7,78.0,15.1,30.9,23.6,8.7,6.1
Utah Jazz*,49.1,31.9,75.0,13.0,31.1,29.4,9.4,7.6
Phoenix Suns,48.6,33.1,76.4,13.6,29.0,28.4,8.2,4.3
Sacramento Kings,47.1,32.0,77.2,15.0,30.0,25.8,7.1,6.0
Atlanta Hawks*,48.5,30.1,76.7,15.0,29.0,25.1,7.7,6.5
Golden State Warriors,46.8,29.2,79.6,13.9,27.5,24.5,9.0,3.5
Milwaukee Bucks*,47.5,32.4,77.5,13.6,28.5,26.8,8.2,4.6
Philadelphia 76ers,47.4,32.3,76.4,14.9,28.1,23.1,8.2,5.7
Washington Bullets*,46.8,21.0,77.3,15.0,28.0,22.9,8.5,6.1
New York Knicks*,46.5,31.6,75.9,15.7,26.8,24.5,9.6,5.4
Chicago Bulls*,49.0,23.0,75.9,14.3,30.0,26.2,8.7,5.8
Indiana Pacers,48.0,33.6,78.0,13.1,30.0,24.1,7.5,4.2
Cleveland Cavaliers*,49.0,37.8,74.4,12.4,27.9,25.2,8.9,6.4
New Jersey Nets,46.8,30.1,72.9,13.1,27.6,21.9,8.9,4.7
Los Angeles Clippers,44.3,24.9,71.3,14.5,28.7,23.0,8.8,6.3
