Eastern Conference,W/L%,win%
Boston Celtics*,0.695,2
Washington Bullets*,0.463,14
New York Knicks*,0.463,15
Philadelphia 76ers,0.439,17
New Jersey Nets,0.232,22
Detroit Pistons*,0.659,3
Chicago Bulls*,0.61,7
Atlanta Hawks*,0.61,8
Milwaukee Bucks*,0.512,12
Cleveland Cavaliers*,0.512,13
Indiana Pacers,0.463,16
Denver Nuggets*,0.659,4
Dallas Mavericks*,0.646,5
Utah Jazz*,0.573,9
Houston Rockets*,0.561,10
San Antonio Spurs*,0.378,18
Sacramento Kings,0.293,20
Los Angeles Lakers*,0.756,1
Portland Trail Blazers*,0.646,6
Seattle SuperSonics*,0.537,11
Phoenix Suns,0.341,19
Golden State Warriors,0.244,21
Los Angeles Clippers,0.207,23
