Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Dallas Mavericks*,45.9,34.8,79.6,14.3,31.0,23.9,8.0,5.3
Sacramento Kings*,46.2,40.1,79.5,10.8,30.4,26.2,8.7,4.0
Los Angeles Lakers*,45.4,32.7,69.3,12.2,30.9,23.8,8.3,4.6
Milwaukee Bucks*,44.7,35.0,77.5,11.7,30.5,22.8,6.8,4.7
Denver Nuggets*,44.3,33.6,76.7,13.2,29.1,21.9,9.1,6.3
Seattle SuperSonics,44.6,37.3,76.5,11.1,28.3,21.7,8.1,4.7
Memphis Grizzlies*,44.5,34.0,72.7,12.8,29.0,23.4,9.7,6.9
Boston Celtics*,44.3,34.6,75.0,10.4,29.8,20.5,9.4,4.0
Los Angeles Clippers,42.8,32.1,78.5,14.0,29.5,20.2,7.2,4.6
Minnesota Timberwolves*,46.2,36.3,78.1,10.7,32.3,23.0,6.8,5.6
Phoenix Suns,44.3,34.5,74.6,11.3,29.3,19.3,9.0,4.7
Orlando Magic,42.9,34.4,73.7,12.2,28.7,19.3,6.7,3.8
Golden State Warriors,44.2,33.4,72.5,12.2,30.9,20.5,7.0,4.7
Cleveland Cavaliers,43.3,31.4,75.3,13.6,31.9,22.0,7.1,6.5
Atlanta Hawks,43.3,33.5,77.6,12.1,30.6,20.1,7.6,5.0
New York Knicks*,44.2,36.4,79.3,11.6,31.0,20.7,7.4,4.8
Washington Wizards,42.1,34.1,71.4,13.6,29.2,18.7,8.9,5.0
New Orleans Hornets*,42.0,31.9,75.1,13.3,29.5,20.9,8.6,4.2
San Antonio Spurs*,44.2,35.8,68.1,12.5,32.5,20.4,8.1,6.5
Indiana Pacers*,43.5,35.1,76.4,11.8,29.9,21.6,8.9,5.0
Portland Trail Blazers,44.8,34.6,73.1,12.7,29.0,21.6,7.5,5.4
New Jersey Nets*,44.1,33.6,75.3,10.5,30.2,24.5,8.6,3.9
Miami Heat*,42.5,35.7,76.2,11.5,30.0,19.1,7.2,3.8
Detroit Pistons*,43.5,34.4,75.3,12.4,30.4,20.8,8.0,7.0
Houston Rockets*,44.2,36.6,77.3,10.3,32.3,19.3,6.8,5.4
Chicago Bulls,41.4,34.2,72.5,12.8,30.7,21.9,8.0,4.8
Utah Jazz,43.6,32.1,74.6,13.5,27.7,20.4,7.1,6.0
Philadelphia 76ers,42.8,34.2,75.3,11.5,29.4,20.0,8.0,4.4
Toronto Raptors,41.8,35.6,75.0,10.1,29.5,19.2,7.4,4.9
