Eastern Conference,W/L%,win%
New Jersey Nets*,0.573,9
Miami Heat*,0.512,12
New York Knicks*,0.476,17
Boston Celtics*,0.439,20
Philadelphia 76ers,0.402,22
Washington Wizards,0.305,27
Orlando Magic,0.256,29
Indiana Pacers*,0.744,1
Detroit Pistons*,0.659,6
New Orleans Hornets*,0.5,14
Milwaukee Bucks*,0.5,15
Cleveland Cavaliers,0.427,21
Toronto Raptors,0.402,23
Atlanta Hawks,0.341,25
Chicago Bulls,0.28,28
Minnesota Timberwolves*,0.707,2
San Antonio Spurs*,0.695,3
Dallas Mavericks*,0.634,7
Memphis Grizzlies*,0.61,8
Houston Rockets*,0.549,10
Denver Nuggets*,0.524,11
Utah Jazz,0.512,13
Los Angeles Lakers*,0.683,4
Sacramento Kings*,0.671,5
Portland Trail Blazers,0.5,16
Golden State Warriors,0.451,18
Seattle SuperSonics,0.451,19
Phoenix Suns,0.354,24
Los Angeles Clippers,0.341,26
