チーム名,勝率,順位
ミルウォーキー バックス,0.639,7
ヒューストン ロケッツ,0.236,30
ダラス マーベリックス,0.583,8
LA クリッパーズ,0.653,5
ニューオーリンズ ペリカンズ,0.431,21
ポートランド トレイルブレイザーズ,0.583,8
ワシントン ウィザーズ,0.472,17
サンアントニオ スパーズ,0.458,19
ボストン セルティックス,0.5,16
フェニックス サンズ,0.708,2
ロサンゼルス レイカーズ,0.583,8
ミネソタ ティンバーウルブズ,0.319,25
トロント ラプターズ,0.375,24
メンフィス グリズリーズ,0.528,15
マイアミ ヒート,0.556,13
アトランタ ホークス,0.569,11
ブルックリン ネッツ,0.667,4
ユタ ジャズ,0.722,1
デンバー ナゲッツ,0.653,5
フィラデルフィア 76ers,0.681,3
オクラホマシティ サンダー,0.306,26
サクラメント キングス,0.431,21
インディアナ ペイサーズ,0.472,17
オーランド マジック,0.292,28
デトロイト ピストンズ,0.278,29
クリーブランド キャバリアーズ,0.306,26
シカゴ ブルズ,0.431,21
ゴールデンステイト ウォリアーズ,0.542,14
ニューヨーク ニックス,0.569,11
シャーロット ホーネッツ,0.458,19
