Team,FG%,3P%,FT%,ORB,DRB,AST,STL,BLK
Los Angeles Lakers*,48.1,35.1,67.9,13.2,30.1,24.5,9.0,6.8
Minnesota Timberwolves*,46.1,34.7,74.3,13.0,29.6,25.2,7.8,5.2
Utah Jazz*,49.0,37.2,77.3,11.7,29.3,25.2,7.9,5.0
Seattle SuperSonics*,47.3,39.6,72.1,11.4,27.1,24.2,9.8,4.6
Phoenix Suns*,46.8,35.6,74.9,12.1,29.9,25.9,9.2,5.2
New Jersey Nets*,44.1,33.1,74.4,16.4,26.1,20.5,9.5,3.8
Houston Rockets*,45.2,34.3,77.1,12.0,28.7,21.9,8.4,3.6
Washington Wizards,45.2,33.9,69.1,13.7,28.5,23.2,8.4,4.6
Chicago Bulls*,45.1,32.3,74.3,15.2,29.7,23.8,8.5,4.3
Charlotte Hornets*,46.8,38.3,75.1,12.0,28.5,23.7,8.4,3.8
Vancouver Grizzlies,45.8,36.2,73.9,13.2,28.2,23.9,7.5,4.3
Indiana Pacers*,46.9,39.0,76.4,10.7,28.6,23.0,7.9,4.5
Boston Celtics,43.4,33.2,72.6,14.6,24.9,22.1,12.0,4.5
Los Angeles Clippers,43.8,35.8,72.3,12.7,27.8,18.7,7.6,5.6
Atlanta Hawks*,45.5,33.2,75.6,13.5,29.5,19.1,8.0,6.0
Miami Heat*,45.0,35.5,73.9,12.5,29.5,21.4,8.1,5.2
Toronto Raptors,43.5,34.3,71.8,14.5,26.2,21.3,9.4,8.1
Milwaukee Bucks,45.6,35.4,76.7,12.6,27.3,20.1,8.9,4.4
Portland Trail Blazers*,45.1,30.9,73.7,13.2,30.8,21.5,7.1,5.7
Detroit Pistons,44.9,31.2,74.5,12.7,28.5,19.5,8.3,4.2
Philadelphia 76ers,44.3,30.0,73.7,13.7,28.0,21.1,8.9,6.0
Sacramento Kings,44.2,35.1,68.7,13.3,28.1,22.4,7.3,5.1
San Antonio Spurs*,46.8,35.0,68.8,12.0,32.2,22.4,6.3,6.9
Cleveland Cavaliers*,45.4,37.2,75.6,11.6,28.4,23.1,9.9,5.1
New York Knicks*,44.7,33.5,77.2,11.9,29.7,21.8,7.7,3.4
Dallas Mavericks,42.7,35.7,75.3,12.3,27.8,18.7,7.9,5.7
Orlando Magic,42.9,32.3,72.6,14.4,26.9,20.7,7.9,5.4
Denver Nuggets,41.7,32.3,77.2,12.7,26.3,18.9,8.1,4.8
Golden State Warriors,41.3,27.2,71.0,15.7,30.2,20.8,7.6,5.5
